mode,sample_fraction,final_test_mae_mean,final_test_accuracy_mean,total_time_sec_mean,total_time_fair_sec_mean,total_wall_time_sec_mean,fake_eval_time_sec_mean,hits_mean,misses_mean,hit_rate_overall_mean,fake_hits_mean,fake_hit_ratio_mean,final_test_mae_std,final_test_accuracy_std,total_time_sec_std,total_time_fair_sec_std,total_wall_time_sec_std,fake_eval_time_sec_std,hits_std,misses_std,hit_rate_overall_std,fake_hits_std,fake_hit_ratio_std,fake_hit_rate_overall_mean
farthest_point,0.1,1.0,0.0,9.013676142692566,7.282455466516937,9.572814236053576,1.731220676175629,34275.03333333333,176.7,0.9948608203582615,0.0,0.0,0.0,0.0,0.942631776673518,0.7801144393317946,0.9729261232653694,0.16357831623533375,464.17177016943043,35.88699857422833,0.0010947343199411458,0.0,0.0,0.0
farthest_point,0.2,1.0,0.0,9.62979215780894,7.7975714939335985,10.190262463518108,1.8322206638753413,33885.4,403.46666666666664,0.9881983230329625,0.0,0.0,0.0,0.0,1.7003479684388545,1.33803682176231,1.7217230723042032,0.36574623484834484,535.7217312498459,229.5493749840229,0.006797834365459145,0.0,0.0,0.0
farthest_point,0.3,1.0,0.0,9.054027446111043,7.3376626012070725,9.62264525243081,1.7163648449039708,33969.333333333336,393.43333333333334,0.9885086100374209,0.0,0.0,0.0,0.0,0.8048401920732605,0.664267622795267,0.8348255418809861,0.14146080240654713,552.430890599801,113.21739658236665,0.003495120677614299,0.0,0.0,0.0
farthest_point,0.5,1.0,0.0,9.313318800926208,7.573990765508885,9.913630285517623,1.7393280354173233,33810.333333333336,516.8333333333334,0.9848408088810956,0.0,0.0,0.0,0.0,1.240293285943097,1.0053888201609673,1.2528495316078412,0.2387715027678323,794.3068396756727,347.7937207918254,0.010476836378797512,0.0,0.0,0.0
stratified,0.1,1.0,0.0,9.196025093396505,7.404814041576659,9.752420794637874,1.791211051819846,34179.63333333333,137.8,0.9959741238959398,0.0,0.0,0.0,0.0,1.2779969872494248,0.9965503627269116,1.2920249587816413,0.28450868731196227,468.80155597959464,48.4798239820787,0.0014564966851086446,0.0,0.0,0.0
stratified,0.2,1.0,0.0,9.20073340733846,7.419945796160027,9.755251073852802,1.7807876111784329,34120.23333333333,280.03333333333336,0.9918613787394328,0.0,0.0,0.0,0.0,1.7578713277265374,1.3799938512835628,1.7732076631473235,0.3797469681039935,462.56499963668847,179.2526119443979,0.005113003469896116,0.0,0.0,0.0
stratified,0.3,1.0,0.0,9.300883356730143,7.524512673293551,9.858191684276486,1.7763706834365924,33921.9,386.1666666666667,0.9886963210416145,0.0,0.0,0.0,0.0,1.325886262438792,1.0503930744730094,1.34293339583016,0.2770656528901274,568.0389863380849,200.66823089091332,0.006070450398608751,0.0,0.0,0.0
stratified,0.5,1.0,0.0,9.166873931884766,7.454848799652731,9.71989990908963,1.7120251322320352,33768.433333333334,466.2,0.9863373275293518,0.0,0.0,0.0,0.0,0.872263034288507,0.7205757808365436,0.904871870935103,0.1526065920524605,582.9763679220241,117.79626479646967,0.003654439014103666,0.0,0.0,0.0
