run,gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,mode,sample_fraction
1,0,0,0.5131208791208791,0.13127502331888385,0.36703296703296706,0.6329670329670329,,4,23.31,1,5.09,4,5.79,15.65,3,0.0,0.009541988372802734,fec_simple_farthest_point,0.1
1,1,36,0.4358173076923077,0.1193937709964649,0.36483516483516487,0.7692307692307692,0.38596491228070173,41,28.515625,5,4.734375,10,6.296875,14.765625,17,0.00016450881958007812,0.010188579559326172,fec_simple_farthest_point,0.1
1,2,39,0.43721851918573235,0.1168374068682498,0.36483516483516487,0.6351648351648351,0.38596491228070173,41,35.622950819672134,5,5.557377049180328,10,7.131147540983607,16.442622950819672,17,0.00014066696166992188,0.01089787483215332,fec_simple_farthest_point,0.1
1,3,19,0.42271062271062276,0.10703940474449994,0.36483516483516487,0.6329670329670329,0.38596491228070173,41,38.4320987654321,5,4.91358024691358,10,6.938271604938271,14.666666666666666,17,0.00011086463928222656,0.01004171371459961,fec_simple_farthest_point,0.1
1,4,25,0.44363369963369964,0.12372185464913864,0.36483516483516487,0.7978021978021979,0.38596491228070173,41,42.026666666666664,5,4.96,10,7.0,14.866666666666667,17,0.00013136863708496094,0.010555028915405273,fec_simple_farthest_point,0.1
1,5,19,0.4296296296296296,0.11756212216224794,0.36483516483516487,0.8637362637362638,0.38596491228070173,41,41.18518518518518,5,4.308641975308642,10,6.37037037037037,12.62962962962963,17,0.0001246929168701172,0.010788440704345703,fec_simple_farthest_point,0.1
1,6,24,0.4276171197223828,0.1191870293291358,0.12527472527472527,0.6879120879120879,0.10526315789473684,58,46.19736842105263,11,4.144736842105263,7,6.565789473684211,12.407894736842104,24,0.00012159347534179688,0.01052713394165039,fec_simple_farthest_point,0.1
1,7,12,0.44345654345654356,0.12660697184608202,0.12527472527472527,0.7120879120879121,0.10526315789473684,58,43.51136363636363,11,3.784090909090909,7,6.568181818181818,11.568181818181818,24,0.00012755393981933594,0.010476827621459961,fec_simple_farthest_point,0.1
1,8,11,0.4317076182244721,0.11894940186623022,0.12527472527472527,0.6351648351648351,0.10526315789473684,58,47.01123595505618,11,4.550561797752809,7,7.067415730337078,14.0561797752809,24,0.0001342296600341797,0.01239156723022461,fec_simple_farthest_point,0.1
1,9,8,0.44751552795031063,0.12822849565316383,0.12527472527472527,0.665934065934066,0.10526315789473684,58,46.42391304347826,11,4.5978260869565215,7,6.836956521739131,13.826086956521738,24,0.00012373924255371094,0.011676311492919922,fec_simple_farthest_point,0.1
1,10,14,0.4418860209557884,0.1352535677659427,0.12527472527472527,0.8637362637362638,0.10526315789473684,58,44.848837209302324,11,4.011627906976744,7,6.267441860465116,11.488372093023257,24,0.00012564659118652344,0.01070713996887207,fec_simple_farthest_point,0.1
1,11,6,0.42571896188917474,0.1311729903966433,0.12307692307692308,0.6351648351648351,0.10526315789473684,44,48.98936170212766,6,4.819148936170213,8,6.712765957446808,13.787234042553191,14,0.00012636184692382812,0.011855602264404297,fec_simple_farthest_point,0.1
1,12,5,0.42311162521688833,0.16679013829310363,0.11208791208791213,0.8703296703296703,0.11403508771929827,77,50.28421052631579,11,5.6,7,7.0,14.863157894736842,24,0.00012183189392089844,0.012325286865234375,fec_simple_farthest_point,0.1
