run,gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,mode,sample_fraction
2,0,0,0.532,0.12196191161801731,0.3142857142857143,0.6439560439560439,,43,23.22,9,5.03,7,5.69,15.57,29,0.0,0.020155906677246094,fec_simple_farthest_point,0.3
2,1,39,0.48946135831381726,0.1363545610352481,0.3142857142857143,0.9032967032967033,0.3070175438596491,43,30.442622950819672,9,5.147540983606557,7,6.344262295081967,16.0327868852459,29,0.0003173351287841797,0.028504610061645508,fec_simple_farthest_point,0.3
2,2,37,0.4192918192918192,0.1036471518293911,0.3142857142857143,0.6263736263736264,0.3070175438596491,43,36.07936507936508,9,5.444444444444445,7,6.682539682539683,16.873015873015873,29,0.0002048015594482422,0.023702621459960938,fec_simple_farthest_point,0.3
2,3,38,0.4132222616093583,0.11454072110091729,0.1450549450549451,0.6263736263736264,0.1228070175438597,40,37.32258064516129,6,4.870967741935484,9,6.370967741935484,14.903225806451612,22,0.0002105236053466797,0.02686929702758789,fec_simple_farthest_point,0.3
2,4,39,0.4038551612322104,0.11183836335422326,0.1450549450549451,0.6857142857142857,0.1228070175438597,40,42.16393442622951,6,5.950819672131147,9,6.868852459016393,17.37704918032787,22,0.0002129077911376953,0.025742530822753906,fec_simple_farthest_point,0.3
2,5,30,0.4448979591836734,0.14660960863045042,0.1450549450549451,0.7450549450549451,0.1228070175438597,40,43.68571428571428,6,6.514285714285714,9,7.085714285714285,18.814285714285713,22,0.00019812583923339844,0.024573087692260742,fec_simple_farthest_point,0.3
2,6,24,0.4017289377289377,0.13547225807549443,0.13406593406593403,0.6857142857142857,0.13157894736842102,35,47.12,9,6.746666666666667,9,7.266666666666667,19.44,22,0.0002262592315673828,0.024493932723999023,fec_simple_farthest_point,0.3
2,7,26,0.3826551826551826,0.15206769050308439,0.13406593406593403,0.8549450549450549,0.13157894736842102,35,47.445945945945944,9,8.04054054054054,9,8.054054054054054,23.37837837837838,22,0.0002295970916748047,0.026248455047607422,fec_simple_farthest_point,0.3
2,8,29,0.38560594335242215,0.1479723268464173,0.13406593406593403,0.7450549450549451,0.13157894736842102,35,50.53521126760563,9,8.647887323943662,9,8.32394366197183,25.169014084507044,22,0.00021982192993164062,0.028093576431274414,fec_simple_farthest_point,0.3
2,9,31,0.3850931677018633,0.14918794535538357,0.13406593406593403,0.8549450549450549,0.13157894736842102,35,57.95652173913044,9,8.594202898550725,9,8.55072463768116,24.884057971014492,22,0.0002205371856689453,0.02878713607788086,fec_simple_farthest_point,0.3
2,10,33,0.3933081843529604,0.16243395994596196,0.13406593406593403,0.8549450549450549,0.13157894736842102,35,62.134328358208954,9,10.343283582089553,9,9.074626865671641,29.91044776119403,22,0.00021409988403320312,0.030054569244384766,fec_simple_farthest_point,0.3
2,11,31,0.37416786112438283,0.16693964996138635,0.13406593406593403,0.6857142857142857,0.13157894736842102,35,66.8840579710145,9,9.855072463768115,9,9.115942028985508,28.405797101449274,22,0.00022339820861816406,0.03172755241394043,fec_simple_farthest_point,0.3
2,12,33,0.35246842709529275,0.17086065824660185,0.07912087912087917,0.6263736263736264,0.11403508771929827,57,68.40298507462687,8,9.865671641791044,9,9.298507462686567,28.44776119402985,24,0.0002300739288330078,0.03061199188232422,fec_simple_farthest_point,0.3
2,13,29,0.38631790744466793,0.18542551048093953,0.07912087912087917,0.8549450549450549,0.11403508771929827,57,64.90140845070422,8,8.95774647887324,9,8.845070422535212,26.098591549295776,24,0.00021719932556152344,0.029455184936523438,fec_simple_farthest_point,0.3
2,14,24,0.36801619433198374,0.1619973160414936,0.07912087912087917,0.7450549450549451,0.11403508771929827,57,66.78947368421052,8,9.118421052631579,9,9.0,26.55263157894737,24,0.0002231597900390625,0.03140568733215332,fec_simple_farthest_point,0.3
2,15,24,0.3809716599190283,0.16560589146311847,0.07912087912087917,0.6263736263736264,0.11403508771929827,57,72.75,8,11.052631578947368,9,9.618421052631579,31.69736842105263,24,0.00022077560424804688,0.034212350845336914,fec_simple_farthest_point,0.3
