source,sampling_method,mode,sample_fraction,speedup,speedup_pvalue,delta_mae_vs_baseline,delta_accuracy_vs_baseline,fake_hit_ratio_default_mean,fake_hit_ratio_strict_mean,fake_hit_ratio_loose_mean,final_test_mae_mean,final_test_mae_std,final_test_accuracy_mean,final_test_accuracy_std,total_time_sec_mean,total_time_sec_std,mae_pvalue
baseline,,baseline_simple,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.2672413793103448,0.04240818578016842,0.7327586206896551,0.042408185780168396,0.09812273979187008,0.04016547109814395,
FEC,farthest_point,fec_simple_farthest_point,0.1,1.3096241752332105,0.06607695938098403,-0.011978221415608004,0.011978221415608004,0.0,0.0,0.0,0.2552631578947368,0.01696410491738044,0.7447368421052631,0.016964104917380426,0.07492434978485102,0.015211245312782973,0.44693578048959476
FEC,farthest_point,fec_simple_farthest_point,0.2,1.2517107148429436,0.09985907775591663,-0.023820326678765907,0.02382032667876588,0.0,0.0,0.0,0.2434210526315789,0.011479168709037209,0.756578947368421,0.01147916870903721,0.07839090824127193,0.01709162406498829,0.13397066145464914
FEC,farthest_point,fec_simple_farthest_point,0.3,1.236693029796748,0.10958984138020499,-0.018995765275257093,0.018995765275257148,0.0,0.0,0.0,0.2482456140350877,0.013758234334524678,0.7517543859649123,0.013758234334524676,0.07934284210205073,0.016574296454395204,0.22779012236610874
FEC,stratified,fec_simple_stratified,0.1,1.3534377523986925,0.048153629022292796,-0.0018905021173624137,0.0018905021173624137,0.0,0.0,0.0,0.2653508771929824,0.01821628040113615,0.7346491228070176,0.01821628040113614,0.07249889373779292,0.013040496416137056,0.9042017177810432
FEC,stratified,fec_simple_stratified,0.2,1.3286498544820027,0.058095259628075706,-0.0053992740471869305,0.005399274047186986,0.0,0.0,0.0,0.2618421052631579,0.01776721850923605,0.7381578947368421,0.01776721850923605,0.07385146617889402,0.01488810424626514,0.7307035131172837
FEC,stratified,fec_simple_stratified,0.3,1.2145561429939487,0.13276403416718285,-0.015925589836660647,0.015925589836660592,0.0,0.0,0.0,0.25131578947368416,0.010201494166327235,0.7486842105263157,0.01020149416632721,0.08078896999359128,0.01962350292850444,0.29894890984284533
