mode,sample_fraction,gen,invalid_mean,avg_mean,std_mean,min_mean,max_mean,fitness_test_mean,best_ind_length_mean,avg_length_mean,best_ind_nodes_mean,avg_nodes_mean,best_ind_depth_mean,avg_depth_mean,avg_used_codons_mean,best_ind_used_codons_mean,selection_time_mean,generation_time_mean,invalid_std,avg_std,std_std,min_std,max_std,fitness_test_std,best_ind_length_std,avg_length_std,best_ind_nodes_std,avg_nodes_std,best_ind_depth_std,avg_depth_std,avg_used_codons_std,best_ind_used_codons_std,selection_time_std,generation_time_std
baseline_simple,1.0,0,0.0,0.5299630198479256,0.12541616170718634,0.09472527472527467,0.9031501831501831,,33.13333333333333,22.626851107554845,7.233333333333333,4.876406199906649,6.9,5.754073581382943,15.218323424684938,22.133333333333333,0.0,0.31080811818440757,0.0,0.002831827200713615,0.009842009563747115,0.012122494653544142,0.011996770397338433,,7.450876160261662,0.11446560905399557,1.6468825769380835,0.0264900638026568,0.30000000000000004,0.008444123990782506,0.07605848175004513,4.937835783237655,0.0,0.09347214560041152
baseline_simple,1.0,1,2154.0666666666666,0.45832024208997846,0.12257891493511111,0.09025641025641021,0.8846153846153846,0.09035087719298243,34.46666666666667,27.42159601815591,7.366666666666666,4.386607133782525,7.166666666666667,6.060195094846872,13.55958827358005,22.2,0.014713120460510204,0.5763429164886474,42.86951779009838,0.0045798610198791315,0.009280099285138246,0.011956438979325038,0.02221665322214096,0.022891207632806845,7.998888811717675,0.3529906097939394,1.760366123534786,0.06921877870234226,0.7340905181848412,0.036124061218384074,0.20000149475186615,4.888080741286229,0.004492878836028086,0.11345441786133115
baseline_simple,1.0,2,1689.4666666666667,0.423872284264492,0.10804507801442484,0.08732600732600729,0.896043956043956,0.09093567251461986,35.46666666666667,29.39501253402437,7.7,4.05375009795923,7.5,6.191849617305449,12.467360613211659,22.8,0.012734731038411417,0.5856892188390096,27.380934161484646,0.006468259310245868,0.00786652556297308,0.009357809436973343,0.021927781404216758,0.025066172128827845,7.948724565754071,0.5456630543900595,1.917463602435954,0.09679504576830214,1.02469507659596,0.05135553440574997,0.28414116078597373,5.211525688318152,0.003166409262115402,0.12595349758031008
baseline_simple,1.0,3,1349.9,0.4166574998369927,0.10410690246420565,0.08710622710622706,0.8916483516483517,0.091812865497076,35.96666666666667,30.16869605276169,7.933333333333334,3.6135289434485633,7.7,6.034135137263058,11.023114336529776,23.066666666666666,0.015426603953043577,0.5818310976028442,41.7031973194702,0.006643180695613147,0.007406468918497768,0.009158681243672603,0.023274230642912407,0.024783181403996633,7.2960415447160285,0.6280076048648758,1.878533707147382,0.12710939670202392,1.1,0.07506010282743997,0.36533779227016966,4.84378180993139,0.0076049680332497625,0.1273206651400908
baseline_simple,1.0,4,1095.5333333333333,0.41255317811952386,0.10308168803145512,0.08527472527472524,0.8910622710622711,0.08947368421052629,37.3,31.111227995488942,8.2,3.388401251525124,7.833333333333333,5.936919842420133,10.25811060909046,23.6,0.01364165147145585,0.5671181996663411,42.94471898719201,0.007070011739678649,0.007230046205444862,0.008152631644391842,0.025043910772040115,0.026257244819466275,10.195260336712025,0.7323628939002995,3.187475490101845,0.155334949971296,1.4851112939963644,0.0982484347972356,0.44655866629129176,8.301003955345802,0.002757765542865323,0.09586696829364118
baseline_simple,1.0,5,965.6,0.4123954530413794,0.10589567152861235,0.08256410256410254,0.8973626373626373,0.08625730994152044,39.36666666666667,32.13844961821498,8.633333333333333,3.3186506933890096,8.233333333333333,5.903549886750262,9.94285233223446,24.333333333333332,0.014490699768066353,0.5305827776590983,52.570967906884384,0.008030053283901778,0.007482676464927593,0.0068961820363303995,0.018301680124815194,0.025632787068939324,14.117325840572246,0.9865174184849995,3.3414900202687354,0.20019388340552174,1.8381754238616315,0.1249922864737693,0.5731278291901625,9.36779352652243,0.004012159310442992,0.08581259023721374
baseline_simple,1.0,6,881.6666666666666,0.4120720630503397,0.10960134429944919,0.08168498168498164,0.8981684981684982,0.085672514619883,38.166666666666664,33.40174002034282,8.5,3.384375171484253,8.366666666666667,5.940801172001254,10.029680548918922,23.733333333333334,0.013276553153991653,0.589182980855306,58.00306505311211,0.007790789656183222,0.008525385447577548,0.007202251418743965,0.01296930921020072,0.025891643634225605,11.410764897917913,1.2532053777294163,3.2736320298204973,0.26014078276902153,1.8345450541089352,0.16457615105327777,0.740977706275658,9.359249732513584,0.0020166800167132166,0.15844755885657694
baseline_simple,1.0,7,844.8,0.4132143905993386,0.11622333519875143,0.08102564102564098,0.9005860805860806,0.08508771929824557,38.86666666666667,35.02647114776289,8.7,3.6041861680371268,8.466666666666667,6.060016282161089,10.52140424054481,24.2,0.01762779553731277,0.6280373016993205,72.22575717844708,0.007731545241021434,0.010274947119224007,0.007194422679672362,0.012811299672329676,0.025032040614999414,11.572188883506678,1.519204450512691,3.778447653027188,0.36689334136337076,1.8926759422104522,0.23093859502023809,1.047782111782586,10.114016676540201,0.007456913142225965,0.18848994357369292
baseline_simple,1.0,8,829.2,0.4136351942914017,0.12481469309650864,0.07992673992673988,0.9023443223443224,0.08274853801169586,39.6,37.06790845816078,8.266666666666667,3.951551862542058,8.1,6.261456283141457,11.362255464000052,22.366666666666667,0.017793337504068956,0.6625420411427816,84.8494352760622,0.00857759720101418,0.012880272837622905,0.007188825503430513,0.012206324229355598,0.02488130573041499,15.241609713762738,1.9071200100856098,3.5584016386886717,0.46392918443718617,1.5132745950421558,0.29349242652566004,1.337776550186024,9.47446861599929,0.005749513186500123,0.15654251721464962
baseline_simple,1.0,9,814.5666666666667,0.4133472431438332,0.136567907730035,0.07941391941391937,0.9059340659340659,0.0812865497076023,40.2,39.249708054897916,8.3,4.382997916221088,8.2,6.485594141015142,12.361941724035836,22.3,0.01973492304484046,0.8001598358154297,94.59093802027525,0.009946157571360447,0.01557739912314206,0.0069901013578763955,0.01495367129338971,0.02650355366929746,14.808556085362724,2.2444754411716583,3.680126809409335,0.5400543266068815,1.6206994374857628,0.34016547903109723,1.5564291143342388,10.010494493280538,0.00934631631445279,0.16834314625954264
