experiment_folder,source,sampling_method,mode,sample_fraction,speedup,speedup_pvalue,delta_mae_vs_baseline,delta_accuracy_vs_baseline,fake_hit_ratio_mean,final_test_mae_mean,final_test_mae_std,final_test_accuracy_mean,final_test_accuracy_std,total_time_sec_mean,total_time_sec_std,mae_pvalue
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,baseline,,baseline_simple,1.0,1.0,,0.0,0.0,0.0,0.081578947368421,0.0191045569870405,0.918421052631579,0.0191045569870404,17.636961253484092,5.766877718313418,
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,FEC,farthest_point,farthest_point,0.1,1.0475871360134117,0.2674246124136174,-0.0007730865625602,0.0007730865625601,0.0,0.0808058608058607,0.0078360886659168,0.9191941391941392,0.0078360886659168,16.835794032944573,6.665744087823908,0.8333038334513633
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,FEC,farthest_point,farthest_point,0.2,1.0788456698557245,0.159739940855263,-0.005559411348885,0.0055594113488849,0.0,0.0760195360195359,0.0074487479457984,0.923980463980464,0.0074487479457984,16.347992809613547,6.671580734499169,0.1359541656399369
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,FEC,farthest_point,farthest_point,0.3,1.0969592971396718,0.107438568632392,-0.0064873722768459,0.0064873722768459,0.0,0.075091575091575,0.0059988325555851,0.924908424908425,0.0059988325555851,16.07804528342353,5.917963335890142,0.0816424273362458
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,FEC,farthest_point,farthest_point,0.4,0.9809210792437444,0.6005757090375581,-0.0082822440717177,0.0082822440717177,,0.0732967032967032,0.0054107164361824,0.9267032967032968,0.0054107164361825,17.980000253518423,6.190754982759749,0.0289219564047902
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,FEC,farthest_point,farthest_point,0.5,1.107329271324699,0.0914764199413272,-0.0067071524966261,0.0067071524966261,0.0,0.0748717948717948,0.007025331630615,0.9251282051282051,0.007025331630615,15.927476776970757,6.391426965418637,0.073645535810531
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,FEC,kmeans,kmeans,0.1,1.0765304015999728,0.2034847509868738,3.277424330055956e-05,-3.277424330072609e-05,,0.0816117216117215,0.0071495225780254,0.9183882783882784,0.0071495225780254,16.38315204779307,5.663951983753007,0.9931430542438476
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,FEC,stratified,stratified,0.1,1.091662823244414,0.2016671014521107,-0.0037034894929631,0.0037034894929631,0.0,0.0778754578754578,0.0071708851809757,0.9221245421245422,0.0071708851809757,16.156051921844483,7.509768146941669,0.3347392412401941
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,FEC,stratified,stratified,0.2,1.0224819116277128,0.4093747025354519,-0.0067071524966261,0.0067071524966261,0.0,0.0748717948717948,0.0079634744273706,0.9251282051282051,0.0079634744273706,17.24916700522105,7.001191399007864,0.088893503680618
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,FEC,stratified,stratified,0.3,1.0213031510627395,0.4065076671548829,-0.0078060535955273,0.0078060535955272,0.0,0.0737728937728937,0.0062339974797083,0.9262271062271062,0.0062339974797084,17.26907552878062,6.021231582392297,0.0437553917416542
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,FEC,stratified,stratified,0.5,0.9115416392668186,0.8131302060567496,-0.0083921341816078,0.0083921341816077,0.0,0.0731868131868131,0.0065480737053652,0.9268131868131868,0.0065480737053652,19.34849763711293,8.499336901338108,0.0315663677726495
analcatdata_boxing1_Gen_50_Pop_1000,baseline,,baseline_simple,1.0,1.0,,0.0,0.0,0.0,0.3347222222222222,0.128867634741818,0.6652777777777777,0.128867634741818,6.095538671811422,2.0128788675279528,
analcatdata_boxing1_Gen_50_Pop_1000,FEC,farthest_point,farthest_point,0.1,1.2007714491568084,0.0177829424700296,-0.0211805555555555,0.0211805555555555,0.0,0.3135416666666666,0.0336304036687924,0.6864583333333333,0.0336304036687924,5.076352103551229,1.559854588218689,0.3979558886897534
analcatdata_boxing1_Gen_50_Pop_1000,FEC,farthest_point,farthest_point,0.2,1.096485681384122,0.1415179162073184,-0.0329861111111111,0.0329861111111111,0.0,0.3017361111111111,0.0350143957387617,0.6982638888888889,0.0350143957387617,5.559159390131632,1.746887972408121,0.1925000070596938
analcatdata_boxing1_Gen_50_Pop_1000,FEC,farthest_point,farthest_point,0.3,1.1136470368210571,0.1010305580968442,-0.0454861111111111,0.0454861111111112,0.0,0.2892361111111111,0.0405834307740863,0.710763888888889,0.0405834307740863,5.473492471377055,1.6376140487838284,0.0784895434021848
analcatdata_boxing1_Gen_50_Pop_1000,FEC,farthest_point,farthest_point,0.5,1.1315871187049222,0.0895780893859006,-0.0319444444444444,0.0319444444444445,0.0,0.3027777777777777,0.0374549626671161,0.6972222222222223,0.0374549626671161,5.386716206868489,1.9565556682676932,0.2085986176152705
analcatdata_boxing1_Gen_50_Pop_1000,FEC,stratified,stratified,0.1,1.1920458440745034,0.0247286324183735,-0.0128472222222222,0.0128472222222222,0.0,0.3218749999999999,0.0331974225767715,0.678125,0.0331974225767715,5.113510274887085,1.6986676738356392,0.6066276962781882
analcatdata_boxing1_Gen_50_Pop_1000,FEC,stratified,stratified,0.2,0.9301438487317862,0.8173906954849947,-0.0447916666666666,0.0447916666666666,0.0,0.2899305555555555,0.0326185663681526,0.7100694444444444,0.0326185663681526,6.553329014778138,1.8011016858445148,0.078777341509922
