experiment_folder,dataset_file,fec_mode,source,sampling_method,mode,sample_fraction,speedup,speedup_pvalue,delta_mae_vs_baseline,delta_accuracy_vs_baseline,fake_hit_ratio_mean,final_test_mae_mean,final_test_mae_std,final_test_accuracy_mean,final_test_accuracy_std,total_time_sec_mean,total_time_sec_std,mae_pvalue,n_rows,n_columns_total,n_features_raw,n_features_numeric_raw,n_features_categorical_raw,n_missing_cells,missing_pct,label_column,n_classes,majority_class_fraction,is_binary,n_rows_used_after_cleaning,n_features_used_after_encoding,c1,c2,cls_coef,density,f1.mean,f1v.mean,f2.mean,f3.mean,f4.mean,hubs.mean,l1.mean,l2.mean,l3.mean,lsc,n1,n2.mean,n3.mean,n4.mean,t1,t2,t3,t4,error
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,Wisconsin_Breast_Cancer_without_ID.csv,noFake,baseline,,baseline_simple,1.0,1.0,,0.0,0.0,0.0,0.081578947368421,0.0191045569870405,0.918421052631579,0.0191045569870404,17.636961253484092,5.766877718313418,,569.0,31.0,30.0,30.0,0.0,0.0,0.0,fractal_dimension_worst,535.0,0.0052724077328646,False,569.0,30.0,0.996475400346673,0.0001050827752607,1.0,0.9999257407361568,0.0690348639764426,,,6.30053554552137e-06,0.0,0.9923803100486396,0.0,0.0,2.800238020231719e-06,0.9982425307557118,1.0,0.9702614697849,1.0,0.648506151142355,1.0,0.0527240773286467,0.0017574692442882,0.0333333333333333,
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,Wisconsin_Breast_Cancer_without_ID.csv,noFake,FEC,farthest_point,farthest_point,0.1,1.0475871360134117,0.2674246124136174,-0.0007730865625602,0.0007730865625601,0.0,0.0808058608058607,0.0078360886659168,0.9191941391941392,0.0078360886659168,16.835794032944573,6.665744087823908,0.8333038334513633,569.0,31.0,30.0,30.0,0.0,0.0,0.0,fractal_dimension_worst,535.0,0.0052724077328646,False,569.0,30.0,0.996475400346673,0.0001050827752607,1.0,0.9999257407361568,0.0690348639764426,,,6.30053554552137e-06,0.0,0.9923803100486396,0.0,0.0,2.800238020231719e-06,0.9982425307557118,1.0,0.9702614697849,1.0,0.648506151142355,1.0,0.0527240773286467,0.0017574692442882,0.0333333333333333,
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,Wisconsin_Breast_Cancer_without_ID.csv,noFake,FEC,farthest_point,farthest_point,0.2,1.0788456698557245,0.159739940855263,-0.005559411348885,0.0055594113488849,0.0,0.0760195360195359,0.0074487479457984,0.923980463980464,0.0074487479457984,16.347992809613547,6.671580734499169,0.1359541656399369,569.0,31.0,30.0,30.0,0.0,0.0,0.0,fractal_dimension_worst,535.0,0.0052724077328646,False,569.0,30.0,0.996475400346673,0.0001050827752607,1.0,0.9999257407361568,0.0690348639764426,,,6.30053554552137e-06,0.0,0.9923803100486396,0.0,0.0,2.800238020231719e-06,0.9982425307557118,1.0,0.9702614697849,1.0,0.648506151142355,1.0,0.0527240773286467,0.0017574692442882,0.0333333333333333,
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,Wisconsin_Breast_Cancer_without_ID.csv,noFake,FEC,farthest_point,farthest_point,0.3,1.0969592971396718,0.107438568632392,-0.0064873722768459,0.0064873722768459,0.0,0.075091575091575,0.0059988325555851,0.924908424908425,0.0059988325555851,16.07804528342353,5.917963335890142,0.0816424273362458,569.0,31.0,30.0,30.0,0.0,0.0,0.0,fractal_dimension_worst,535.0,0.0052724077328646,False,569.0,30.0,0.996475400346673,0.0001050827752607,1.0,0.9999257407361568,0.0690348639764426,,,6.30053554552137e-06,0.0,0.9923803100486396,0.0,0.0,2.800238020231719e-06,0.9982425307557118,1.0,0.9702614697849,1.0,0.648506151142355,1.0,0.0527240773286467,0.0017574692442882,0.0333333333333333,
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,Wisconsin_Breast_Cancer_without_ID.csv,noFake,FEC,farthest_point,farthest_point,0.4,0.9809210792437444,0.6005757090375581,-0.0082822440717177,0.0082822440717177,,0.0732967032967032,0.0054107164361824,0.9267032967032968,0.0054107164361825,17.980000253518423,6.190754982759749,0.0289219564047902,569.0,31.0,30.0,30.0,0.0,0.0,0.0,fractal_dimension_worst,535.0,0.0052724077328646,False,569.0,30.0,0.996475400346673,0.0001050827752607,1.0,0.9999257407361568,0.0690348639764426,,,6.30053554552137e-06,0.0,0.9923803100486396,0.0,0.0,2.800238020231719e-06,0.9982425307557118,1.0,0.9702614697849,1.0,0.648506151142355,1.0,0.0527240773286467,0.0017574692442882,0.0333333333333333,
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,Wisconsin_Breast_Cancer_without_ID.csv,noFake,FEC,farthest_point,farthest_point,0.5,1.107329271324699,0.0914764199413272,-0.0067071524966261,0.0067071524966261,0.0,0.0748717948717948,0.007025331630615,0.9251282051282051,0.007025331630615,15.927476776970757,6.391426965418637,0.073645535810531,569.0,31.0,30.0,30.0,0.0,0.0,0.0,fractal_dimension_worst,535.0,0.0052724077328646,False,569.0,30.0,0.996475400346673,0.0001050827752607,1.0,0.9999257407361568,0.0690348639764426,,,6.30053554552137e-06,0.0,0.9923803100486396,0.0,0.0,2.800238020231719e-06,0.9982425307557118,1.0,0.9702614697849,1.0,0.648506151142355,1.0,0.0527240773286467,0.0017574692442882,0.0333333333333333,
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,Wisconsin_Breast_Cancer_without_ID.csv,noFake,FEC,kmeans,kmeans,0.1,1.0765304015999728,0.2034847509868738,3.277424330055956e-05,-3.277424330072609e-05,,0.0816117216117215,0.0071495225780254,0.9183882783882784,0.0071495225780254,16.38315204779307,5.663951983753007,0.9931430542438476,569.0,31.0,30.0,30.0,0.0,0.0,0.0,fractal_dimension_worst,535.0,0.0052724077328646,False,569.0,30.0,0.996475400346673,0.0001050827752607,1.0,0.9999257407361568,0.0690348639764426,,,6.30053554552137e-06,0.0,0.9923803100486396,0.0,0.0,2.800238020231719e-06,0.9982425307557118,1.0,0.9702614697849,1.0,0.648506151142355,1.0,0.0527240773286467,0.0017574692442882,0.0333333333333333,
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,Wisconsin_Breast_Cancer_without_ID.csv,noFake,FEC,stratified,stratified,0.1,1.091662823244414,0.2016671014521107,-0.0037034894929631,0.0037034894929631,0.0,0.0778754578754578,0.0071708851809757,0.9221245421245422,0.0071708851809757,16.156051921844483,7.509768146941669,0.3347392412401941,569.0,31.0,30.0,30.0,0.0,0.0,0.0,fractal_dimension_worst,535.0,0.0052724077328646,False,569.0,30.0,0.996475400346673,0.0001050827752607,1.0,0.9999257407361568,0.0690348639764426,,,6.30053554552137e-06,0.0,0.9923803100486396,0.0,0.0,2.800238020231719e-06,0.9982425307557118,1.0,0.9702614697849,1.0,0.648506151142355,1.0,0.0527240773286467,0.0017574692442882,0.0333333333333333,
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,Wisconsin_Breast_Cancer_without_ID.csv,noFake,FEC,stratified,stratified,0.2,1.0224819116277128,0.4093747025354519,-0.0067071524966261,0.0067071524966261,0.0,0.0748717948717948,0.0079634744273706,0.9251282051282051,0.0079634744273706,17.24916700522105,7.001191399007864,0.088893503680618,569.0,31.0,30.0,30.0,0.0,0.0,0.0,fractal_dimension_worst,535.0,0.0052724077328646,False,569.0,30.0,0.996475400346673,0.0001050827752607,1.0,0.9999257407361568,0.0690348639764426,,,6.30053554552137e-06,0.0,0.9923803100486396,0.0,0.0,2.800238020231719e-06,0.9982425307557118,1.0,0.9702614697849,1.0,0.648506151142355,1.0,0.0527240773286467,0.0017574692442882,0.0333333333333333,
Wisconsin_Breast_Cancer_without_ID_Gen_50_Pop_1000,Wisconsin_Breast_Cancer_without_ID.csv,noFake,FEC,stratified,stratified,0.3,1.0213031510627395,0.4065076671548829,-0.0078060535955273,0.0078060535955272,0.0,0.0737728937728937,0.0062339974797083,0.9262271062271062,0.0062339974797084,17.26907552878062,6.021231582392297,0.0437553917416542,569.0,31.0,30.0,30.0,0.0,0.0,0.0,fractal_dimension_worst,535.0,0.0052724077328646,False,569.0,30.0,0.996475400346673,0.0001050827752607,1.0,0.9999257407361568,0.0690348639764426,,,6.30053554552137e-06,0.0,0.9923803100486396,0.0,0.0,2.800238020231719e-06,0.9982425307557118,1.0,0.9702614697849,1.0,0.648506151142355,1.0,0.0527240773286467,0.0017574692442882,0.0333333333333333,
