mode,sample_fraction,run,gen,phenotype,phenotype_in_cache,hit,fitness_cached,fitness_full_train,fake_hit,fitness_diff
farthest_point,0.1,1,1,"not_(less_than_or_equal(add(x[2],x[5]),pdiv(x[5],mul(x[3],x[0]))))",,False,,0.3903508771929824,False,0.0
farthest_point,0.1,1,1,"less_than_or_equal(pdiv(x[3],x[7]),sub(x[3],pdiv(x[3],x[7])))",,False,,0.7149122807017544,False,0.0
farthest_point,0.1,1,1,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],x[7]))))",,False,,0.2587719298245614,False,0.0
farthest_point,0.1,1,1,"and_(not_(greater_than_or_equal(x[0], x[5])),greater_than_or_equal(x[7], x[2]))",,False,,0.368421052631579,False,0.0
farthest_point,0.1,1,1,"less_than_or_equal(pdiv(x[3],x[7]),sub(x[3],x[7]))","less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[7])),mul(mul(x[5],x[7]),mul(x[0],x[2])))",True,0.2982456140350877,0.2982456140350877,False,0.0
farthest_point,0.1,1,1,"less_than_or_equal(pdiv(x[3],x[7]),sub(x[3],pdiv(x[0],x[0])))","less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[7])),mul(mul(x[5],x[7]),mul(x[0],x[2])))",True,0.2982456140350877,0.2982456140350877,False,0.0
farthest_point,0.1,1,1,"not_(less_than_or_equal(add(x[2],x[5]),pdiv(x[0],x[2])))",,False,,0.3552631578947368,False,0.0
farthest_point,0.1,1,1,"greater_than_or_equal(mul(add(x[2],x[7]),add(x[0],10.46)), x[3])","less_than_or_equal(mul(mul(x[7],x[0]),mul(x[2],x[7])),x[0])",True,0.7017543859649122,0.7017543859649122,False,0.0
farthest_point,0.1,1,1,"less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],pdiv(x[5],mul(x[5],x[7])))),mul(x[0],x[2]))","less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[7])),mul(mul(x[5],x[7]),mul(x[0],x[2])))",True,0.2982456140350877,0.2982456140350877,False,0.0
farthest_point,0.1,1,1,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],x[7]))))","not_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],mul(x[5],x[7]))))",True,0.2587719298245614,0.2241379310344827,True,-0.0346339987900786
farthest_point,0.1,1,2,"not_(greater_than_or_equal(x[3], x[2]))",,False,,0.7017543859649122,False,0.0
farthest_point,0.1,1,2,"not_(greater_than_or_equal(mul(x[7],x[7]), mul(x[3],x[2])))",,False,,0.2850877192982456,False,0.0
farthest_point,0.1,1,2,"or_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],x[2])),greater_than_or_equal(x[7], x[7]))","less_than_or_equal(mul(mul(x[7],x[0]),mul(x[2],x[7])),x[0])",True,0.7017543859649122,0.7017543859649122,False,0.0
farthest_point,0.1,1,2,"and_(greater_than_or_equal(mul(x[2],x[7]), mul(x[3],x[2])),greater_than_or_equal(x[3], x[2]))",,False,,0.3157894736842105,False,0.0
farthest_point,0.1,1,2,"not_(not_(greater_than_or_equal(x[0], x[0])))","less_than_or_equal(mul(mul(x[7],x[0]),mul(x[2],x[7])),x[0])",True,0.7017543859649122,0.7017543859649122,False,0.0
farthest_point,0.1,1,2,"less_than_or_equal(pdiv(add(x[2],x[2]),sub(x[3],sub(x[5],mul(x[5],x[7])))),mul(x[0],x[5]))",,False,,0.5263157894736843,False,0.0
farthest_point,0.1,1,2,"less_than_or_equal(pdiv(x[3],x[7]),sub(x[3],pdiv(x[0],30.94)))",,False,,0.3026315789473685,False,0.0
farthest_point,0.1,1,2,"not_(greater_than_or_equal(x[3], x[2]))","not_(greater_than_or_equal(x[3], x[2]))",True,0.7017543859649122,0.7017543859649122,False,0.0
farthest_point,0.1,1,2,"not_(greater_than_or_equal(mul(x[2],x[7]), mul(mul(x[0],x[7]),mul(x[3],x[2]))))","less_than_or_equal(pdiv(add(x[2],x[2]),pdiv(x[3],x[7])),mul(mul(x[5],x[7]),mul(x[0],x[2])))",True,0.2982456140350877,0.2982456140350877,False,0.0
