mode,sample_fraction,fake_hit_threshold,gen,invalid_mean,avg_mean,std_mean,min_mean,max_mean,fitness_test_mean,best_ind_length_mean,avg_length_mean,best_ind_nodes_mean,avg_nodes_mean,best_ind_depth_mean,avg_depth_mean,avg_used_codons_mean,best_ind_used_codons_mean,selection_time_mean,generation_time_mean,invalid_std,avg_std,std_std,min_std,max_std,fitness_test_std,best_ind_length_std,avg_length_std,best_ind_nodes_std,avg_nodes_std,best_ind_depth_std,avg_depth_std,avg_used_codons_std,best_ind_used_codons_std,selection_time_std,generation_time_std
fec_simple_farthest_point,0.1,0.0,0,0.0,0.5314505494505495,0.12484673055659332,0.3153846153846154,0.6382417582417582,,17.5,21.684,3.9,4.642,5.5,5.728,14.586000000000002,11.9,0.0,0.007902383804321251,0.0,0.008462337624598575,0.01420174192572801,0.10729349793304292,0.02451707211847794,,13.070960178961606,0.6275539817418093,2.8442925306655784,0.1160861748874517,1.2041594578792296,0.10047885349664366,0.42057579578477916,8.619164692706596,0.0,0.0038534746931889728
fec_simple_farthest_point,0.1,0.0,1,21.7,0.4692149055665539,0.12795126386979555,0.3032967032967033,0.6298901098901099,0.3032967032967033,18.1,24.761765183286922,3.9,3.993567422915249,5.6,6.006407409016104,12.412281269455182,11.9,0.00011475086212152999,0.00973722934722896,4.754997371187496,0.024662693075463562,0.01398333775383818,0.1066103985550321,0.014418654476357514,0.1066103985550321,12.988071450373225,2.927631513072232,2.8442925306655784,0.5815977000339012,1.2,0.3354400376741901,1.902223256937134,8.619164692706596,1.0792253410662867e-05,0.004972807633417606
fec_simple_farthest_point,0.1,0.0,2,15.1,0.4160323670746549,0.10232892544023768,0.27120879120879116,0.6292307692307693,0.27120879120879116,19.8,26.352024723286583,4.5,3.8042281858980154,6.0,5.981254187231417,11.626669446622008,13.2,0.00010445117950435453,0.008228278160095161,1.7,0.03126191462264476,0.02816623717626906,0.1107666143071414,0.01322521879853215,0.1107666143071414,11.42628548566856,3.152144610828386,2.8372521918222215,0.6889198695191145,1.2649110640673518,0.4186224603969172,1.9750469964630795,8.611620056644394,8.842372657177775e-06,0.0029202943503746017
fec_simple_farthest_point,0.1,0.0,3,16.6,0.4013753491745227,0.10251455162633812,0.2626373626373626,0.6287912087912088,0.2626373626373626,20.1,26.660922657772005,4.5,3.5259507464134665,6.0,6.061346106191023,10.831178831478633,13.2,0.00012001991271967002,0.00845158100128169,4.2708313008125245,0.01629263677047465,0.02948620214025519,0.11493160680266017,0.013880995757923589,0.11493160680266017,11.44071676076285,4.489244111385451,2.8372521918222215,0.8294700899329389,1.2649110640673518,0.510877403122363,2.351204919014181,8.611620056644394,5.349509397254968e-06,0.003306131166598107
fec_simple_farthest_point,0.1,0.0,4,13.9,0.40333156080373955,0.1088662008612428,0.2624175824175824,0.6296703296703297,0.2624175824175824,22.1,27.238350862424983,4.6,3.342234754617958,6.2,5.810675028068624,10.08981731208489,13.6,0.00011875629425043,0.007739758491516061,3.3,0.015432644646192458,0.03526379117070533,0.11470422104826439,0.013978091091127746,0.11470422104826439,10.123734488813897,5.340305917054776,2.727636339397171,1.435031304981835,1.0770329614269007,0.7363263712071346,4.111840617774263,8.212186067059125,8.284110764393043e-06,0.002175669520053193
fec_simple_farthest_point,0.1,0.0,5,10.9,0.40232168101738663,0.11671106946104912,0.2624175824175824,0.6474725274725275,0.2624175824175824,22.1,27.709084379347537,4.6,3.1487066961409065,6.2,5.668182416800837,9.457470746122063,13.6,0.00011911392211909,0.00784673690795892,3.5902646142032486,0.0183957331314317,0.03219331879138522,0.11470422104826439,0.05085621205944879,0.11470422104826439,10.123734488813897,5.540224027470686,2.727636339397171,1.1128431245217385,1.0770329614269007,0.6026034612250462,3.11050556290525,8.212186067059125,7.115266865975384e-06,0.0022879924033899278
fec_simple_farthest_point,0.1,0.0,6,11.5,0.40272182456381617,0.11779180477803615,0.2371428571428571,0.6571428571428571,0.2371428571428571,23.6,28.545479306057917,4.9,3.3763769801741743,6.4,5.847154927292783,10.113087896480726,13.5,0.00012190341949457001,0.007913279533386181,4.318564576337836,0.027877739827148994,0.0333975450540949,0.11342213881017181,0.08107477529110893,0.11342213881017181,9.951884243699782,5.466133166320259,2.5865034312755126,0.9085754575425606,1.28062484748657,0.503782176493454,2.5290592307711255,7.269800547470337,7.525911970447611e-06,0.0019649925778069703
fec_simple_farthest_point,0.1,0.0,7,11.4,0.3870752163640362,0.11707484138534505,0.23076923076923075,0.6195604395604395,0.23076923076923075,25.3,29.272953918062615,5.4,3.614378097747663,6.6,5.9058184327749546,10.624093732354602,15.0,0.00012507438659663,0.00789914131164545,4.758150901348127,0.027628174290196834,0.040553818995087046,0.11376890756256612,0.0810953273580498,0.11376890756256612,11.610770861575041,6.434626454920258,3.1999999999999997,0.9746108557325167,1.4966629547095767,0.44573832671928865,2.909044944613767,8.910667763978186,6.991967817212614e-06,0.002131080137715542
fec_simple_farthest_point,0.1,0.0,8,11.3,0.4034233816902396,0.13288419802903131,0.23076923076923075,0.6632967032967032,0.23076923076923075,25.3,30.5155683388395,5.4,3.842856230664695,6.6,6.1226269854139295,11.184458559297154,15.0,0.00012128353118891001,0.008258223533630319,3.287856444554719,0.019500607169856465,0.042348231670519564,0.11376890756256612,0.06399945658506163,0.11376890756256612,11.610770861575041,7.3972828998387445,3.1999999999999997,1.2259729280713296,1.4966629547095767,0.5833403010419108,3.6782646604367244,8.910667763978186,1.1959989450471622e-05,0.0027284213045408244
fec_simple_farthest_point,0.1,0.0,9,11.5,0.40283454762363374,0.1303362198846565,0.2169230769230769,0.6742857142857143,0.2169230769230769,30.8,31.76348240957504,5.8,4.17473989105909,6.9,6.2183793193496255,11.985334925899952,16.2,0.00013096332550045,0.00839283466339107,7.0178344238090995,0.021871138451513884,0.04084239776780195,0.12306141974569981,0.07519439043637133,0.12306141974569981,21.980900800467666,7.539709686955809,3.54400902933387,1.543561931955098,1.8138357147217055,0.6824423710563566,4.536324698867627,10.156771140475698,1.0405571232772245e-05,0.0019467304889918978
