source,sampling_method,mode,sampling_fraction,sample_fraction,threshold,fake_hit_threshold,speedup,speedup_pvalue,delta_mae_vs_baseline,delta_accuracy_vs_baseline,final_test_mae_mean,final_test_mae_std,final_test_accuracy_mean,final_test_accuracy_std,total_time_sec_mean,total_time_sec_std,mae_pvalue
baseline,,baseline_simple,,1.0,,,1.0,,0.0,0.0,0.08070175438596487,0.027310630242890332,0.9192982456140351,0.027310630242890332,17.840008020401,8.139770114809213,
FEC,farthest_point,fec_simple_farthest_point,0.1,0.1,0.0,0.0,1.419011994481643,0.0018022973041697495,0.002082128397917854,-0.0020821283979177707,0.08278388278388273,0.00826898230594725,0.9172161172161173,0.008268982305947251,12.572133350372315,4.345393092284505,0.6967958067441481
FEC,farthest_point,fec_simple_farthest_point,0.2,0.2,0.0,0.0,1.1084802591463256,0.18070244065703323,-0.0037786774628880138,0.0037786774628880693,0.07692307692307686,0.0071329883924619,0.9230769230769231,0.007132988392461915,16.094114327430724,6.170093913709314,0.4760541066148091
FEC,farthest_point,fec_simple_farthest_point,0.3,0.3,0.0,0.0,1.4384663259237778,0.0016251837655142356,-0.004877578561789095,0.004877578561789164,0.07582417582417578,0.0075443648859812125,0.9241758241758242,0.007544364885981219,12.40210333665212,4.78104716396442,0.360551793885511
FEC,farthest_point,fec_simple_farthest_point,0.4,0.4,0.0,0.0,1.3259242081840001,0.010817050258060321,-0.007661461345671888,0.007661461345671916,0.07304029304029298,0.006942720740336193,0.926959706959707,0.006942720740336203,13.45477208296458,5.763692262431563,0.15269608833554651
FEC,farthest_point,fec_simple_farthest_point,0.5,0.5,0.0,0.0,1.2216813051039401,0.03707109537747361,-0.006416040100250639,0.006416040100250653,0.07428571428571423,0.005513520211641551,0.9257142857142857,0.005513520211641568,14.602832953135172,4.994326045473952,0.22413424653989908
FEC,kmeans,fec_simple_kmeans,0.1,0.1,0.0,0.0,0.9957473572415222,0.5143406426697903,0.00047040678619625353,-0.0004704067861961425,0.08117216117216113,0.007198897287348444,0.9188278388278389,0.007198897287348423,17.916199215253194,7.9279151659288445,0.9290738823790382
FEC,kmeans,fec_simple_kmeans,0.2,0.2,0.0,0.0,1.0368683279366893,0.3677430784806628,-0.004657798342008884,0.0046577983420089675,0.07604395604395599,0.006752655602521873,0.923956043956044,0.006752655602521873,17.205663959185284,5.908957131408336,0.37916257475823956
FEC,kmeans,fec_simple_kmeans,0.3,0.3,0.0,0.0,0.8366092030443271,0.9344068679712703,-0.004804318488529052,0.004804318488529025,0.07589743589743582,0.005998385198669244,0.9241025641025641,0.0059983851986692,21.324183328946432,9.157599236100832,0.3617958865832282
FEC,kmeans,fec_simple_kmeans,0.4,0.4,0.0,0.0,0.9102928278773774,0.8147121742411497,-0.006122999807210372,0.0061229998072104275,0.0745787545787545,0.004846252134371062,0.9254212454212455,0.004846252134371064,19.598097968101502,6.613983623834748,0.24360644727212655
FEC,kmeans,fec_simple_kmeans,0.5,0.5,0.0,0.0,0.824395516094742,0.9644493995291101,-0.007148640832851397,0.007148640832851383,0.07355311355311347,0.004001904845054253,0.9264468864468864,0.004001904845054243,21.640108021100364,7.5901241440255545,0.17326951679404132
