mode,sample_fraction,final_test_mae_mean,final_test_accuracy_mean,total_time_sec_mean,total_time_fair_sec_mean,total_wall_time_sec_mean,fake_eval_time_sec_mean,hits_mean,misses_mean,hit_rate_overall_mean,fake_hits_mean,fake_hit_ratio_mean,fake_hit_threshold_mean,final_test_mae_std,final_test_accuracy_std,total_time_sec_std,total_time_fair_sec_std,total_wall_time_sec_std,fake_eval_time_sec_std,hits_std,misses_std,hit_rate_overall_std,fake_hits_std,fake_hit_ratio_std,fake_hit_threshold_std,fake_hit_rate_overall_mean
farthest_point,0.1,0.08080586080586076,0.9191941391941392,16.835794032944573,16.835794032944573,17.475198360853312,0.0,39592.42222222222,628.9777777777778,0.9843603437063998,0.0,0.0,5e-06,0.007836088665916828,0.007836088665916828,6.665744087823908,6.665744087823908,6.674879829922997,0.0,849.0820923245127,158.62989614387723,0.003923045086919502,0.0,0.0,5.000000000000001e-06,0.0
farthest_point,0.2,0.07601953601953597,0.923980463980464,16.347992809613547,16.347992809613547,17.463760812249447,0.0,39265.833333333336,1001.1,0.9751243934434891,0.0,0.0,5e-06,0.007448747945798449,0.007448747945798457,6.671580734499169,6.671580734499169,6.73274004229011,0.0,850.0073888567748,276.8638674712016,0.0068991177819510505,0.0,0.0,5.000000000000001e-06,0.0
farthest_point,0.3,0.07509157509157503,0.924908424908425,16.07804528342353,16.07804528342353,18.08839173616531,0.0,39053.61111111111,1284.4777777777779,0.9681641245175803,0.0,0.0,5e-06,0.005998832555585144,0.0059988325555851586,5.917963335890142,5.917963335890142,5.91252340286213,0.0,746.362999178825,332.1726534927206,0.00819299862130188,0.0,0.0,5.000000000000001e-06,0.0
farthest_point,0.4,0.07329670329670321,0.9267032967032968,17.980000253518423,17.980000253518423,20.845054738223553,0.0,38606.48333333333,1673.95,0.9584235079137567,0.0,,5e-06,0.00541071643618249,0.005410716436182513,6.190754982759749,6.190754982759749,6.195017690045521,0.0,936.8872484930564,444.0139796973365,0.011093258094968176,0.0,,5.000000000000001e-06,0.0
farthest_point,0.5,0.07487179487179481,0.9251282051282051,15.927476776970757,15.927476776970757,20.938097118627695,0.0,38692.96666666667,1664.2111111111112,0.9587930239189032,0.0,0.0,5e-06,0.007025331630615009,0.007025331630615,6.391426965418637,6.391426965418637,6.720192212789044,0.0,1089.5428852912987,547.1015850104875,0.013350854595857114,0.0,0.0,5.000000000000001e-06,0.0
kmeans,0.1,0.08161172161172156,0.9183882783882783,16.38315204779307,16.38315204779307,23.34316183224631,0.0,39976.666666666664,420.1,0.9895806799754799,0.0,,0.0,0.007149522578025418,0.007149522578025429,5.663951983753007,5.663951983753007,5.473356505767629,0.0,889.1005317485515,91.88411179306244,0.0023598586822576677,0.0,,0.0,0.0
stratified,0.1,0.07787545787545781,0.9221245421245422,16.156051921844483,16.156051921844483,16.789866611004495,0.0,39446.433333333334,607.7666666666667,0.9847823358224235,0.0,0.0,,0.007170885180975742,0.007170885180975729,7.509768146941669,7.509768146941669,7.516334842329022,0.0,982.9036467980412,150.06169471994585,0.0038873577400528095,0.0,0.0,,0.0
stratified,0.2,0.07487179487179482,0.9251282051282051,17.24916700522105,17.24916700522105,17.888499502201253,0.0,39177.36666666667,1059.2666666666667,0.9737107946159759,0.0,0.0,,0.00796347442737067,0.00796347442737065,7.001191399007864,7.001191399007864,7.004434420990667,0.0,737.4984060246419,321.4073151348958,0.007741517475222792,0.0,0.0,,0.0
stratified,0.3,0.0737728937728937,0.9262271062271062,17.26907552878062,17.26907552878062,17.912986524868757,0.0,38770.4,1415.9666666666667,0.9647270453011064,0.0,0.0,,0.0062339974797083735,0.0062339974797084065,6.021231582392297,6.021231582392297,6.006260445317135,0.0,841.8578898286031,434.7690178576309,0.010894112256516134,0.0,0.0,,0.0
stratified,0.5,0.07318681318681314,0.9268131868131868,19.348497637112935,19.348497637112935,20.002041238049667,0.0,38349.73333333333,1780.0333333333333,0.9556320392999466,0.0,0.0,,0.00654807370536524,0.0065480737053652555,8.499336901338108,8.499336901338108,8.5115370749945,0.0,1129.1064293895815,510.4608038059556,0.01270776469005266,0.0,0.0,,0.0
