source,sampling_method,mode,sample_fraction,speedup,speedup_pvalue,delta_mae_vs_baseline,delta_accuracy_vs_baseline,fake_hit_ratio_mean,final_test_mae_mean,final_test_mae_std,final_test_accuracy_mean,final_test_accuracy_std,total_time_sec_mean,total_time_sec_std,mae_pvalue
baseline,,baseline_simple,1.0,1.0,,0.0,0.0,0.0,0.081578947368421,0.019104556987040527,0.918421052631579,0.019104556987040493,17.636961253484092,5.766877718313418,
FEC,farthest_point,farthest_point,0.1,1.0475871360134117,0.2674246124136174,-0.0007730865625602407,0.0007730865625601435,0.0,0.08080586080586076,0.007836088665916828,0.9191941391941392,0.007836088665916828,16.835794032944573,6.665744087823908,0.8333038334513633
FEC,farthest_point,farthest_point,0.2,1.0788456698557243,0.15973994085526302,-0.005559411348885032,0.005559411348884935,0.0,0.07601953601953597,0.007448747945798449,0.923980463980464,0.007448747945798457,16.347992809613547,6.671580734499169,0.13595416563993692
FEC,farthest_point,farthest_point,0.3,1.0969592971396718,0.10743856863239203,-0.006487372276845968,0.006487372276845926,0.0,0.07509157509157503,0.005998832555585144,0.924908424908425,0.0059988325555851586,16.07804528342353,5.917963335890142,0.08164242733624581
FEC,farthest_point,farthest_point,0.4,0.9809210792437445,0.6005757090375581,-0.008282244071717793,0.008282244071717737,,0.07329670329670321,0.00541071643618249,0.9267032967032968,0.005410716436182513,17.980000253518423,6.190754982759749,0.028921956404790217
FEC,farthest_point,farthest_point,0.5,1.107329271324699,0.09147641994132724,-0.0067071524966261925,0.006707152496626123,0.0,0.07487179487179481,0.007025331630615009,0.9251282051282051,0.007025331630615,15.927476776970757,6.391426965418637,0.07364553581053102
FEC,kmeans,kmeans,0.1,1.0765304015999728,0.2034847509868738,3.277424330055956e-05,-3.277424330072609e-05,,0.08161172161172156,0.007149522578025418,0.9183882783882783,0.007149522578025429,16.38315204779307,5.663951983753007,0.9931430542438475
FEC,stratified,stratified,0.1,1.091662823244414,0.20166710145211078,-0.0037034894929631884,0.0037034894929631745,0.0,0.07787545787545781,0.007170885180975742,0.9221245421245422,0.007170885180975729,16.156051921844483,7.509768146941669,0.33473924124019416
FEC,stratified,stratified,0.2,1.0224819116277128,0.40937470253545194,-0.006707152496626179,0.006707152496626123,0.0,0.07487179487179482,0.00796347442737067,0.9251282051282051,0.00796347442737065,17.24916700522105,7.001191399007864,0.08889350368061802
FEC,stratified,stratified,0.3,1.0213031510627397,0.4065076671548829,-0.007806053595527301,0.007806053595527218,0.0,0.0737728937728937,0.0062339974797083735,0.9262271062271062,0.0062339974797084065,17.26907552878062,6.021231582392297,0.043755391741654215
FEC,stratified,stratified,0.5,0.9115416392668186,0.8131302060567496,-0.008392134181607863,0.00839213418160778,0.0,0.07318681318681314,0.00654807370536524,0.9268131868131868,0.0065480737053652555,19.348497637112935,8.499336901338108,0.031566367772649595
