mode,sample_fraction,gen,hit_mean,fitness_cached_mean,fitness_full_train_mean,fake_hit_mean,fitness_diff_mean,hit_std,fitness_cached_std,fitness_full_train_std,fake_hit_std,fitness_diff_std
farthest_point,0.1,0,0.3755707762557078,0.4865654035918823,0.5127277928509809,0.0,0.0,0.484269933279357,0.07422753095835112,0.0715758827437738,0.0,0.0
farthest_point,0.1,1,0.754750175932442,0.4243336125976713,0.47833011193624086,0.0,0.0,0.4302352238745566,0.0681865625956509,0.06871635773902751,0.0,0.0
farthest_point,0.1,2,0.94014714655001,0.3729052812011744,0.44936600898390855,0.0,0.0,0.23721401599375133,0.04311169640972805,0.07354663930233638,0.0,0.0
farthest_point,0.1,3,0.9852392263318629,0.3531514742977344,0.4360509231936599,0.0,0.0,0.12059391870594105,0.03082966267805347,0.0838408293512876,0.0,0.0
farthest_point,0.1,4,0.9892996108949417,0.3485162720040218,0.4428761947099355,0.0,0.0,0.10288775815449926,0.02604877538384799,0.09311392371467618,0.0,0.0
farthest_point,0.1,5,0.9901490947816827,0.3478192668192346,0.43786427013810875,0.0,0.0,0.09876165695601272,0.025407631549760158,0.09131135015907223,0.0,0.0
farthest_point,0.1,6,0.988937014037468,0.34770149087358093,0.4460488074918116,0.0,0.0,0.10459730543434087,0.027329458267296068,0.09101645801714171,0.0,0.0
farthest_point,0.1,7,0.9874446470435009,0.34766219489573646,0.4368919234242003,0.0,0.0,0.11134503162978047,0.028269004869536016,0.09229070917882695,0.0,0.0
farthest_point,0.1,8,0.9855759216829827,0.3483321519832407,0.4458086554332571,0.0,0.0,0.11923097031275834,0.03140853430160971,0.09202260903314301,0.0,0.0
farthest_point,0.1,9,0.9835132999736634,0.34897421030247033,0.44594077349102074,0.0,0.0,0.12733769570939413,0.0339392198789164,0.09305398119792539,0.0,0.0
farthest_point,0.1,10,0.9807793023986593,0.3497472302781061,0.43669347048360124,0.0,0.0,0.13729989943571946,0.036034664022108934,0.08597890988177966,0.0,0.0
farthest_point,0.1,11,0.9786187616483744,0.35021180710633504,0.43475789884973093,0.0,0.0,0.14465158484502166,0.03810858194887977,0.0937085812796097,0.0,0.0
farthest_point,0.1,12,0.9758967447646693,0.35099918275306374,0.439798091332124,0.0,0.0,0.15336977643066196,0.03952155161703301,0.0863261020119464,0.0,0.0
farthest_point,0.1,13,0.9750464013198598,0.3518417821933733,0.432464790155388,0.0,0.0,0.15598370617808374,0.04188168760968675,0.08990809987739284,0.0,0.0
farthest_point,0.1,14,0.9711932050757266,0.3530223055380693,0.4329235192189936,0.0,0.0,0.16726315640470363,0.04375703674583277,0.08950958584396672,0.0,0.0
farthest_point,0.1,15,0.9704590213604,0.353726806139619,0.43196873759220944,0.0,0.0,0.16931718524891293,0.04585947956145183,0.0882168354788327,0.0,0.0
farthest_point,0.1,16,0.9680495232389796,0.35463040285747466,0.4393452017114914,0.0,0.0,0.1758682569304757,0.0478956483309954,0.09170702517235807,0.0,0.0
farthest_point,0.1,17,0.9672041677003225,0.35446954651961116,0.43366537327676447,0.0,0.0,0.17810184076378643,0.047281058777401394,0.08564328797742263,0.0,0.0
farthest_point,0.1,18,0.9633907595927956,0.3549462932425228,0.4316939712092883,0.0,0.0,0.18780043643189984,0.049190999406325986,0.08549646342513124,0.0,0.0
farthest_point,0.1,19,0.9609889306090603,0.3549099441289214,0.4335085574572127,0.0,0.0,0.19362129494431868,0.04948943247317192,0.08952635743434581,0.0,0.0
farthest_point,0.1,20,0.9567258324776294,0.3561364744540889,0.43547856836987,0.0,0.0,0.20347361978304807,0.05174382265359745,0.09153618089059473,0.0,0.0
farthest_point,0.1,21,0.960807027705377,0.3555237734712562,0.43283510183434304,0.0,0.0,0.19405381526096296,0.05156806089264795,0.09018331987572967,0.0,0.0
farthest_point,0.1,22,0.957271582211026,0.3547856676202449,0.43194229607083257,0.0,0.0,0.20224415962451098,0.050648434046598814,0.08948680789240515,0.0,0.0
farthest_point,0.1,23,0.9568088696071343,0.3548162711602181,0.43517507858889276,0.0,0.0,0.20328712858479803,0.05128813420589155,0.09281533898679967,0.0,0.0
farthest_point,0.1,24,0.9539835828102367,0.3540799441824525,0.42522006172760324,0.0,0.0,0.20952065897849076,0.05056431156860121,0.09297520822181471,0.0,0.0
farthest_point,0.1,25,0.9548253632252478,0.354549713622168,0.4319608593650322,0.0,0.0,0.2076869975877675,0.051912381537203456,0.09225680034819624,0.0,0.0
farthest_point,0.1,26,0.9553712669574804,0.3534501562314065,0.42868960735754863,0.0,0.0,0.2064873100932332,0.05099399861196699,0.09220898677925064,0.0,0.0
farthest_point,0.1,27,0.9550821840166257,0.3529671941670458,0.430896315549968,0.0,0.0,0.20712364855481388,0.05094643558121625,0.09100612170304881,0.0,0.0
farthest_point,0.1,28,0.9534828583621794,0.35331277118231474,0.4304175421018919,0.0,0.0,0.2106022249922055,0.052370736523476395,0.09026113816626755,0.0,0.0
farthest_point,0.1,29,0.950861123038023,0.35328766886344687,0.43173736558501674,0.0,0.0,0.2161579231323534,0.05284944663596814,0.09045360236354269,0.0,0.0
farthest_point,0.1,30,0.9462164750957854,0.35279427439477673,0.42647074832301707,0.0,0.0,0.22559002050864765,0.05302934953460435,0.08836073881558451,0.0,0.0
farthest_point,0.1,31,0.9507690846942651,0.3524518184070087,0.423817528935499,0.0,0.0,0.21634979150416198,0.05237130303052302,0.08753946850444233,0.0,0.0
farthest_point,0.1,32,0.9502377477519891,0.35276095617143793,0.42629067365543016,0.0,0.0,0.21745337546061783,0.0528690790697934,0.09192812759012478,0.0,0.0
farthest_point,0.1,33,0.951304347826087,0.35185523217598597,0.4282457448716617,0.0,0.0,0.21523100527867753,0.052506647308243413,0.0928951848678865,0.0,0.0
farthest_point,0.1,34,0.9477879445335345,0.35139675782088864,0.42472330998778607,0.0,0.0,0.2224543924727768,0.05255386321958519,0.0918128878972076,0.0,0.0
farthest_point,0.1,35,0.9492801355039051,0.35085356442765764,0.4282266807589895,0.0,0.0,0.2194250665753406,0.052135109211740034,0.0920669264715284,0.0,0.0
farthest_point,0.1,36,0.9469030710624089,0.350905048643526,0.4265778183952304,0.0,0.0,0.22422677153941112,0.053441877667241,0.08951938637360171,0.0,0.0
farthest_point,0.1,37,0.9485937353024174,0.3504889793712566,0.4276514024566199,0.0,0.0,0.22082495476604247,0.05248351436951355,0.09298591457404423,0.0,0.0
farthest_point,0.1,38,0.9472274436090226,0.35025138239392895,0.4240605956364697,0.0,0.0,0.22357909938752926,0.05317565331858236,0.09216541652318132,0.0,0.0
farthest_point,0.1,39,0.9436711816907987,0.3506283584697697,0.4257765775847738,0.0,0.0,0.2305555953280908,0.054248507018769127,0.09325289662590583,0.0,0.0
farthest_point,0.1,40,0.9445019283228294,0.3498354789373349,0.42009241224980315,0.0,0.0,0.22894985415432403,0.05323698856657632,0.09225354600385186,0.0,0.0
farthest_point,0.1,41,0.9426575393848462,0.3490035504311412,0.42785086973992764,0.0,0.0,0.2324958124907909,0.05270298943302502,0.09220798934650778,0.0,0.0
farthest_point,0.1,42,0.9447698744769875,0.34954361912571896,0.4181567097215019,0.0,0.0,0.22842889212559003,0.05389028297372676,0.09036643550932057,0.0,0.0
farthest_point,0.1,43,0.944648577350669,0.34989941691193155,0.42696769494875925,0.0,0.0,0.22866491348701976,0.05412513361271505,0.09073030688621406,0.0,0.0
farthest_point,0.1,44,0.946413422565746,0.3499394688674682,0.4236086471282683,0.0,0.0,0.22520003586397666,0.05490921404137252,0.0899833111122368,0.0,0.0
farthest_point,0.1,45,0.9468273993084758,0.3494056932597295,0.4221191899312911,0.0,0.0,0.22437752834725713,0.054036397858950445,0.09121704938730762,0.0,0.0
farthest_point,0.1,46,0.9464908148845973,0.3490940988113811,0.42217362856847684,0.0,0.0,0.22504655568057022,0.05456133962051116,0.0901921229793024,0.0,0.0
farthest_point,0.1,47,0.9490838867693467,0.3492791836288957,0.42548441744377774,0.0,0.0,0.21982643754593414,0.05432306339993871,0.0925648795930254,0.0,0.0
farthest_point,0.1,48,0.9476120742595304,0.34920775570598717,0.4269535099574277,0.0,0.0,0.22280805859995367,0.054939540901100176,0.09502855567071877,0.0,0.0
farthest_point,0.1,49,0.9508808388041373,0.3487268102327347,0.42325559526048523,0.0,0.0,0.21611679527347558,0.054681827520605596,0.0919064849800477,0.0,0.0
farthest_point,0.1,50,0.9487783061061156,0.34905163761284846,0.4244548216597152,0.0,0.0,0.22044961321926934,0.05619938899940348,0.09404293481102051,0.0,0.0
farthest_point,0.2,0,0.37217355876960684,0.48364922789507564,0.5117314987727463,0.0,0.0,0.48338432010396454,0.07380501645985395,0.0720808363542188,0.0,0.0
farthest_point,0.2,1,0.759180727239917,0.4227518694828679,0.4773598162732304,0.0,0.0,0.4275808118091684,0.06681236133591943,0.07405641129646734,0.0,0.0
farthest_point,0.2,2,0.9348710990502035,0.3729839496666087,0.45273787693561535,0.0,0.0,0.24675317061968693,0.043712268552931775,0.07735366999074711,0.0,0.0
farthest_point,0.2,3,0.9809205119173418,0.35411014458483275,0.4404438593191649,0.0,0.0,0.13680446344020328,0.03169144281410769,0.08882475926697338,0.0,0.0
farthest_point,0.2,4,0.9850279697268839,0.3510566019910839,0.4447817870800756,0.0,0.0,0.12144080279138898,0.02840154727454038,0.09196637904124731,0.0,0.0
farthest_point,0.2,5,0.9856340462302873,0.3500712060823257,0.44177987756677756,0.0,0.0,0.11899400464728958,0.027601097245470378,0.0894559261503513,0.0,0.0
farthest_point,0.2,6,0.9848976336080829,0.3501643347028662,0.44595199559213466,0.0,0.0,0.12196017760433658,0.027830828351355138,0.08948688081677195,0.0,0.0
farthest_point,0.2,7,0.9855489816220745,0.34988199813290893,0.44277311222139537,0.0,0.0,0.11934063199835333,0.028377403615363908,0.09002792979341398,0.0,0.0
farthest_point,0.2,8,0.9837160751565762,0.34974117998679954,0.4378330512193593,0.0,0.0,0.12656523470178346,0.028854295098385923,0.09002264457956813,0.0,0.0
farthest_point,0.2,9,0.984052877301579,0.34978939530378306,0.4445052116844679,0.0,0.0,0.12527095423945056,0.029626462374696887,0.09173251541376262,0.0,0.0
farthest_point,0.2,10,0.9834440523147187,0.3498545381303385,0.44002881866468413,0.0,0.0,0.12760034593026556,0.029995829530431384,0.08590763208690005,0.0,0.0
farthest_point,0.2,11,0.9802518154746356,0.35097465268416345,0.4392181213697106,0.0,0.0,0.13913372608148064,0.034126684533115466,0.0904980249125412,0.0,0.0
farthest_point,0.2,12,0.9757517464817252,0.351237113075135,0.4362797392693621,0.0,0.0,0.15381897061022184,0.034680808469734,0.09047137161585657,0.0,0.0
farthest_point,0.2,13,0.9724635472234924,0.3520307219528632,0.4374678587861673,0.0,0.0,0.16364044898800167,0.03681245225886921,0.09143421859233287,0.0,0.0
farthest_point,0.2,14,0.9713897827835881,0.35311057903015775,0.42616265829039923,0.0,0.0,0.16670834618351196,0.040449902827565325,0.08928344598200992,0.0,0.0
farthest_point,0.2,15,0.9648053975127133,0.3534919993701878,0.4332350441252085,0.0,0.0,0.1842713825938493,0.04244672586785361,0.088793306775049,0.0,0.0
farthest_point,0.2,16,0.9611987694750421,0.3543885586890463,0.4264127464528918,0.0,0.0,0.19312093370400538,0.04443757421160717,0.09067699516426846,0.0,0.0
farthest_point,0.2,17,0.9610454138924774,0.3545043925592077,0.42555885434858537,0.0,0.0,0.19348676008635407,0.045867050192169447,0.08756252615133804,0.0,0.0
farthest_point,0.2,18,0.953765514513178,0.3544158598680254,0.4261992861158689,0.0,0.0,0.20999251853004366,0.045474371315012314,0.0890699515270007,0.0,0.0
farthest_point,0.2,19,0.9563250049183553,0.35426809057067654,0.4263832903808454,0.0,0.0,0.20437096145554318,0.047146005571365446,0.08920573986724663,0.0,0.0
farthest_point,0.2,20,0.954462389489801,0.3550476503762371,0.4208958944359291,0.0,0.0,0.2084800626899859,0.04854070984608221,0.08940532741862611,0.0,0.0
farthest_point,0.2,21,0.9520521108825546,0.3549235769948523,0.4299657102327359,0.0,0.0,0.213656006343436,0.04890833844884264,0.09184613800314301,0.0,0.0
farthest_point,0.2,22,0.9527582017010936,0.35396458328630154,0.4292714338897441,0.0,0.0,0.21215562870777688,0.04772063621744175,0.09065639852621013,0.0,0.0
farthest_point,0.2,23,0.9514684641309581,0.35422010927593367,0.4256461753405519,0.0,0.0,0.21488654191278153,0.04785165594492265,0.0929835489481996,0.0,0.0
farthest_point,0.2,24,0.9521090263448342,0.35410412535155705,0.42259825274019924,0.0,0.0,0.21353554340560293,0.04831763163293654,0.09237399067840399,0.0,0.0
farthest_point,0.2,25,0.9502218792205287,0.35458615168853086,0.4211064991186672,0.0,0.0,0.21748622823327352,0.049680590012566764,0.09305575387502149,0.0,0.0
farthest_point,0.2,26,0.9536385542168675,0.35439336675360283,0.41675604511790326,0.0,0.0,0.21026664530550282,0.0507075346186555,0.08939072983327634,0.0,0.0
farthest_point,0.2,27,0.9501117264160108,0.35360443500456457,0.42247103272760167,0.0,0.0,0.21771411011415479,0.049883199499667887,0.09221408346300593,0.0,0.0
farthest_point,0.2,28,0.9500477099236642,0.35324296386101056,0.41783836926087575,0.0,0.0,0.21784641101580127,0.04962335244965714,0.09330609804594411,0.0,0.0
farthest_point,0.2,29,0.9515464904720866,0.35380181205162203,0.42019724189916596,0.0,0.0,0.21472253477998543,0.05079257488203057,0.09145114160796065,0.0,0.0
farthest_point,0.2,30,0.9503818627215525,0.35342022723829575,0.4224479700447577,0.0,0.0,0.21715473223364187,0.050065056572192186,0.09283222324965058,0.0,0.0
farthest_point,0.2,31,0.9480568900727774,0.3528389324587921,0.42259106012162245,0.0,0.0,0.22191219718237912,0.050078531868174535,0.09483183298882795,0.0,0.0
farthest_point,0.2,32,0.9523379585630108,0.3535422310912995,0.41920205154707024,0.0,0.0,0.21305016133072519,0.0513878656558724,0.0923162676507345,0.0,0.0
farthest_point,0.2,33,0.9479777047305988,0.3530879842962461,0.42156335921617094,0.0,0.0,0.22207200648506806,0.05125035412967513,0.09587084834625804,0.0,0.0
farthest_point,0.2,34,0.9489727663640707,0.3532087787149424,0.41956493869216044,0.0,0.0,0.22005330050556715,0.05216717802043014,0.09518807615489933,0.0,0.0
farthest_point,0.2,35,0.9477232799962015,0.35305758215697897,0.4183060964804168,0.0,0.0,0.22258451102770654,0.05306417140505993,0.09349789964817712,0.0,0.0
farthest_point,0.2,36,0.9472518148392571,0.3526638442946128,0.4233302962171516,0.0,0.0,0.2235303427344733,0.052437807504401565,0.09363311892996533,0.0,0.0
farthest_point,0.2,37,0.9495641635202535,0.3521833797242088,0.41682522178886333,0.0,0.0,0.21884255271389716,0.05282782148619335,0.09294277465377168,0.0,0.0
farthest_point,0.2,38,0.9500537810410139,0.3522904233866721,0.42166423999340674,0.0,0.0,0.21783386828197138,0.052951444632583514,0.093354325242508,0.0,0.0
farthest_point,0.2,39,0.9532223093601513,0.35222141510160665,0.4147195979996431,0.0,0.0,0.21116235057000876,0.052764427462474825,0.09457338722643321,0.0,0.0
farthest_point,0.2,40,0.9505290514200854,0.35297914395107255,0.42044615292871,0.0,0.0,0.21684919604766473,0.05328693399405536,0.09624815163057637,0.0,0.0
farthest_point,0.2,41,0.9501826013671693,0.3518354757196353,0.4245684504660183,0.0,0.0,0.21756751923549716,0.05217421165407995,0.0941692225727355,0.0,0.0
farthest_point,0.2,42,0.9494230411315838,0.35230134998553136,0.417915214931745,0.0,0.0,0.2191322205884813,0.0533923135928069,0.09520035792864809,0.0,0.0
farthest_point,0.2,43,0.9508067507418397,0.35222095430947725,0.41852153133202286,0.0,0.0,0.21627129602789308,0.0533160023465398,0.09381420561662004,0.0,0.0
farthest_point,0.2,44,0.9493824850299402,0.35226341484336726,0.4218869340034076,0.0,0.0,0.21921537844849254,0.05356466826686653,0.0943142454634918,0.0,0.0
