run,gen,invalid,avg,std,min,max,fitness_test,best_ind_length,avg_length,best_ind_nodes,avg_nodes,best_ind_depth,avg_depth,avg_used_codons,best_ind_used_codons,selection_time,generation_time,mode,sample_fraction
1,0,0,0.47753988245172135,0.09151202796133431,0.38476070528967254,0.6227959697732998,,19,14.0,4,3.2222222222222223,7,5.222222222222222,9.444444444444445,13,0.0,0.007406711578369141,fec_simple_farthest_point,0.4
1,1,4,0.4160369437447524,0.060838607377317756,0.38476070528967254,0.5988664987405541,0.4005037783375315,19,26.066666666666666,4,5.4,7,7.0,16.333333333333332,13,7.05718994140625e-05,0.004990577697753906,fec_simple_farthest_point,0.4
1,2,5,0.40268681780016796,0.055217217292885236,0.3690176322418136,0.6051637279596978,0.4005037783375315,19,20.933333333333334,4,4.133333333333334,7,7.133333333333334,13.333333333333334,13,6.270408630371094e-05,0.007007598876953125,fec_simple_farthest_point,0.4
1,3,7,0.40207808564231745,0.05342417502459168,0.3690176322418136,0.5724181360201511,0.4005037783375315,19,22.583333333333332,4,4.0,7,7.0,12.916666666666666,13,5.8650970458984375e-05,0.006148338317871094,fec_simple_farthest_point,0.4
1,4,6,0.4324097397145256,0.0786869526107686,0.3690176322418136,0.5724181360201511,0.4005037783375315,19,22.833333333333332,4,4.083333333333333,7,7.25,13.25,13,5.698204040527344e-05,0.005879402160644531,fec_simple_farthest_point,0.4
1,5,11,0.3849706129303107,0.015592620007786008,0.3690176322418136,0.40994962216624686,0.4005037783375315,19,21.666666666666668,4,3.6666666666666665,7,7.0,12.0,13,5.698204040527344e-05,0.005964040756225586,fec_simple_farthest_point,0.4
1,6,7,0.3897984886649874,0.021048885262091747,0.3690176322418136,0.4256926952141058,0.4005037783375315,19,20.545454545454547,4,4.0,7,7.181818181818182,13.0,13,6.198883056640625e-05,0.0059087276458740234,fec_simple_farthest_point,0.4
1,7,9,0.41928097091825056,0.08033610513754033,0.3690176322418136,0.6070528967254408,0.4005037783375315,19,21.545454545454547,4,3.5454545454545454,7,6.545454545454546,11.363636363636363,13,5.435943603515625e-05,0.0051250457763671875,fec_simple_farthest_point,0.4
1,8,7,0.3934799457469484,0.04895219659806175,0.3690176322418136,0.5484886649874056,0.4005037783375315,19,22.615384615384617,4,3.923076923076923,7,7.076923076923077,12.692307692307692,13,6.270408630371094e-05,0.0067555904388427734,fec_simple_farthest_point,0.4
1,9,8,0.41235401877719263,0.09203705809719812,0.3690176322418136,0.6177581863979849,0.4005037783375315,19,23.363636363636363,4,4.181818181818182,7,7.090909090909091,13.454545454545455,13,5.841255187988281e-05,0.004314899444580078,fec_simple_farthest_point,0.4
1,10,10,0.4029439546599496,0.07766135484633488,0.3690176322418136,0.6076826196473551,0.4005037783375315,19,27.0,4,4.625,7,7.375,14.875,13,6.079673767089844e-05,0.00501561164855957,fec_simple_farthest_point,0.4
