mode,sample_fraction,fake_hit_threshold,final_test_mae_mean,final_test_accuracy_mean,total_time_sec_mean,total_time_fair_sec_mean,total_wall_time_sec_mean,fake_eval_time_sec_mean,hits_mean,misses_mean,hit_rate_overall_mean,fake_hits_mean,final_test_mae_std,final_test_accuracy_std,total_time_sec_std,total_time_fair_sec_std,total_wall_time_sec_std,fake_eval_time_sec_std,hits_std,misses_std,hit_rate_overall_std,fake_hits_std,fake_hit_rate_overall_mean
fec_simple_farthest_point,0.1,0.0,0.20989010989010987,0.7901098901098902,0.07815961837768551,0.060927501032710975,0.19660446209600194,0.01723211734497449,336.6,22.3,0.9376189812632292,31.7,0.09963221826091148,0.09963221826091148,0.019056545382856623,0.015437426252359974,0.02975594417170287,0.0039823280375664025,23.337523433303716,5.3113086899558,0.014782204329314147,32.05635662392094,0.09417706476530005
fec_simple_farthest_point,0.2,0.0,0.21692307692307686,0.783076923076923,0.07155201435089106,0.055847130133770365,0.34926288939896033,0.01570488421712066,338.4,22.8,0.9364799919160157,14.0,0.10417234658265664,0.10417234658265663,0.021125832911558753,0.015945102089313455,0.07441390974880029,0.0052991868736399685,19.236423784061316,4.044749683231338,0.012918040256767245,4.219004621945798,0.04137115839243499
fec_simple_farthest_point,0.3,0.0,0.16945054945054944,0.8305494505494506,0.07507722377777096,0.059177040099166286,0.6607329341000877,0.01590018367860463,331.8,23.1,0.9347469251227342,11.3,0.0933662485591213,0.09336624855912132,0.018669179055982713,0.013998037678517629,0.14306530052865032,0.00503263269075611,32.44626326713139,5.412023651093923,0.014355464118876156,1.2688577540449522,0.03405666063893912
fec_simple_stratified,0.1,0.0,0.2872527472527472,0.7127472527472527,0.06976978778839106,0.05404509093496013,0.07968570099910717,0.01572469685343089,357.2,19.2,0.948580387895829,86.3,0.11581416642530948,0.11581416642530948,0.021106885671355678,0.01653883232682326,0.022304011590898794,0.004871774475512608,22.489108474992964,6.954135460285484,0.019138736831237575,108.79158974847275,0.2416013437849944
fec_simple_stratified,0.2,0.0,0.19670329670329667,0.8032967032967033,0.07576770782470696,0.0594555891497293,0.08509105040575374,0.01631211867497764,341.7,26.3,0.9287899006277206,39.7,0.11885315195848756,0.11885315195848757,0.016192572518089084,0.012741168134121418,0.01678572459708921,0.0037808488169810044,24.783260479605982,8.729833904490967,0.022438496834008368,56.5014159114619,0.11618378694761487
fec_simple_stratified,0.3,0.0,0.27912087912087913,0.7208791208791209,0.05974261760711665,0.04750565919384822,0.06864332079712761,0.01223695841326838,338.1,23.0,0.9349114632538033,12.0,0.11431529625599912,0.11431529625599911,0.013102965487793612,0.010650281086684248,0.013945758486085674,0.003167743313338101,37.28927459739595,11.454256850621082,0.034644141729410265,3.0,0.0354924578527063
