mode,sample_fraction,gen_mean,hit_mean,fitness_cached_mean,fitness_full_train_mean,fake_hit_mean,fitness_diff_mean,gen_std,hit_std,fitness_cached_std,fitness_full_train_std,fake_hit_std,fitness_diff_std
farthest_point,0.1,25.906943012877353,0.9986913351307315,0.4822546305529171,0.5022355975924334,0.0,0.0,14.30582202687804,0.03615179477603404,0.040816665438214605,0.09587488015693794,0.0,0.0
farthest_point,0.2,26.07351311618708,0.9982561784260575,0.48376665052472373,0.49525632911392403,0.0,0.0,14.231223366193397,0.041722663628544425,0.03488519492127384,0.09824350136883425,0.0,0.0
farthest_point,0.3,26.118900940084746,0.9976229187676223,0.4753886029365415,0.4902068302068302,0.0,0.0,14.278564937262377,0.04869733788609412,0.04206948212265704,0.10273674793445478,0.0,0.0
farthest_point,0.5,25.97291673868704,0.997355411898918,0.47870358074383457,0.4957209967320261,0.0,0.0,14.287621353156858,0.051357514103172575,0.036849453920106905,0.1023585275094777,0.0,0.0
stratified,0.1,25.896020666202574,0.9996274656768004,0.4864219260861197,0.4875522388059701,0.0,0.0,14.289666169726884,0.01929755273027473,0.022941576727448232,0.09497042486724669,0.0,0.0
stratified,0.2,25.84164806574065,0.9983851552762653,0.4818138061733918,0.49747248716067494,0.0,0.0,14.301833203959257,0.04015267114717255,0.03850343981894657,0.10082298078485025,0.0,0.0
stratified,0.3,25.939944190604,0.9990808490696659,0.4802344711938741,0.4950347624565469,0.0,0.0,14.263684137351188,0.030303565663159036,0.03065835324986511,0.09648785463304425,0.0,0.0
stratified,0.5,26.022824684896168,0.9988043534247987,0.48488789601771365,0.49239230064161316,0.0,0.0,14.2438875739238,0.03455744499335175,0.032786098229924385,0.10445531585944938,0.0,0.0
