mode,sample_fraction,gen,invalid_mean,avg_mean,std_mean,min_mean,max_mean,fitness_test_mean,best_ind_length_mean,avg_length_mean,best_ind_nodes_mean,avg_nodes_mean,best_ind_depth_mean,avg_depth_mean,avg_used_codons_mean,best_ind_used_codons_mean,selection_time_mean,generation_time_mean,invalid_std,avg_std,std_std,min_std,max_std,fitness_test_std,best_ind_length_std,avg_length_std,best_ind_nodes_std,avg_nodes_std,best_ind_depth_std,avg_depth_std,avg_used_codons_std,best_ind_used_codons_std,selection_time_std,generation_time_std
farthest_point,0.1,0,0.0,0.636764868140942,0.16327646226423895,0.4331926863572433,0.8378340365682139,,10.566666666666666,21.597086111433338,2.466666666666667,4.782441020304925,4.466666666666667,5.884908829963517,14.49208764408894,7.2,0.0,0.14332140286763506,0.0,0.01192129749744973,0.011252065707108844,0.02334909251133293,0.01186863822772984,,9.050537123409981,0.5711925510871478,1.5648926125740672,0.12486816731788243,1.4996295838935991,0.06506756067953297,0.37937507958638067,6.018859249614222,0.0,0.010937242791550693
farthest_point,0.1,1,409.93333333333334,0.5412844981526271,0.13554811674607262,0.42869198312236284,0.8284106891701828,0.42869198312236284,14.333333333333334,23.10841949562079,2.8333333333333335,4.0238648170438465,4.833333333333333,5.596455905926394,11.762437132903468,8.133333333333333,0.00370149612426753,0.2016844511032104,18.586614060183802,0.010392405116231632,0.013063768428601913,0.021365382111682978,0.01317885431799998,0.021365382111682978,10.077477638553983,2.201613404696296,1.7143187827498387,0.426730524328037,1.5293426329272615,0.32764485860754855,1.3196577812233234,5.863635580612272,0.00031585918795622755,0.020699929860299005
farthest_point,0.1,2,270.3,0.5096255603073133,0.11669441985666572,0.42489451476793244,0.830098452883263,0.42489451476793244,17.066666666666666,21.070153518107613,3.066666666666667,2.909101417482669,4.966666666666667,4.772451689359694,8.075516633853804,8.9,0.00368491808573399,0.18718063036600746,59.34427801678384,0.016650246140562302,0.023172571538115326,0.020846614897950422,0.01307033491475549,0.020846614897950422,11.53814928352415,5.093351466157323,1.9136933459209766,1.0691385247932879,1.5380362660079103,0.934188996649662,3.333699688385589,6.574445477250028,0.00029424323329450803,0.03339971784113066
farthest_point,0.1,3,142.86666666666667,0.48729744867244346,0.0916866314678369,0.42405063291139233,0.8284106891701828,0.42405063291139233,18.033333333333335,18.39697100028724,3.4,1.9717963270041183,5.1,3.9394487340303472,5.042552185529013,9.6,0.0039632399876911965,0.16433172225952145,79.22278011335432,0.02478371358334027,0.0306922698935528,0.021061855319088517,0.015573120152648555,0.021061855319088517,11.951243542921475,6.5451523366457485,2.4846193538112296,1.3739750710729242,1.6196707484341788,1.2395503369510297,4.208496959606939,7.209253313161726,0.00033048581772515174,0.044900042733163566
farthest_point,0.1,4,120.96666666666667,0.4781248327255206,0.07896909434713832,0.4230661040787623,0.8243319268635724,0.4230661040787623,19.7,18.2339171639338,3.466666666666667,1.8286875862397236,5.166666666666667,3.8022098075269377,4.544475724168596,9.8,0.00391685962676997,0.16137251853942866,74.19680286613134,0.027376687362010026,0.03292355443674188,0.020754843033132728,0.013140522857520556,0.020754843033132728,11.98652020674335,7.032927991618071,2.4594488994262287,1.4072430518765777,1.5933891203622825,1.277494649113474,4.24245129855566,7.119925093238927,0.0003113325320169666,0.0471201430567246
farthest_point,0.1,5,130.53333333333333,0.4739724743336334,0.07622178008779458,0.42250351617440224,0.8278481012658229,0.42250351617440224,19.4,19.096679061556365,3.3666666666666667,1.9544680361000932,5.166666666666667,3.9168159799475055,4.8923097540020954,9.5,0.004059759775797476,0.16400694847106928,70.06175054113969,0.02645157249229963,0.03324354133520968,0.02077770499310198,0.017914692914869936,0.02077770499310198,11.50246350425276,7.499681131210197,2.414999424890661,1.425240518972244,1.5933891203622825,1.2569687066282444,4.221368442018621,6.912548975112823,0.000518271419536496,0.04762292536483458
farthest_point,0.1,6,145.33333333333334,0.4685307284469367,0.07462353987107728,0.42165963431786213,0.8293952180028129,0.42165963431786213,19.266666666666666,20.026021571002964,2.8333333333333335,2.0740211873710974,4.9,4.037197639515472,5.255231834464583,8.166666666666666,0.003953909873962353,0.1649564186731974,77.49939067860828,0.028182261970149662,0.030401247081286463,0.02040884067197417,0.018414014327436733,0.02040884067197417,11.78115255633147,7.936345994969876,1.4395215254459455,1.4138231096073788,1.3253930234714029,1.2141758146346397,4.162174104749155,5.241395064505462,0.00031590611289528185,0.04942145183001369
farthest_point,0.1,7,150.6,0.462512196685681,0.07078860832587901,0.4212376933895921,0.830098452883263,0.4212376933895921,18.733333333333334,21.295981159699704,2.9,2.221468086115862,4.933333333333334,4.174238986600367,5.704703267282628,8.366666666666667,0.00403470198313391,0.16975331306457517,80.27228662496167,0.028300678091038253,0.02696939579134053,0.020413201897815456,0.01880466375623997,0.020413201897815456,11.792464637310651,8.577854183118815,1.445683229480096,1.4631526562662385,1.3148721948877344,1.2125819338564223,4.31325870412021,5.231209760232861,0.00035149278283446984,0.04906987958852085
farthest_point,0.1,8,155.13333333333333,0.4592343301055222,0.06879243194827228,0.42039381153305205,0.830661040787623,0.42039381153305205,21.7,22.201585718663328,3.2666666666666666,2.294923336875016,5.133333333333334,4.255413830601071,5.937314354545292,9.166666666666666,0.004021477699279733,0.17170054117838537,77.42899256020893,0.028363421470252052,0.025681601608573627,0.02079911525798926,0.017319577247664836,0.02079911525798926,15.201206092500248,9.144803581940382,2.448582356294261,1.4422514325825313,1.80246744461277,1.1894216269739977,4.269416392967137,7.416573033116815,0.00028857669227700956,0.05044840619875519
farthest_point,0.1,9,154.8,0.4591650325221595,0.07124425622543411,0.41969057665260195,0.8324894514767932,0.41969057665260195,22.533333333333335,23.189481521944693,3.3333333333333335,2.354728103252548,5.233333333333333,4.331066384345096,6.128472708816869,9.366666666666667,0.00403567949930822,0.1757636467615763,76.64828765210612,0.029788877829179966,0.026032231351984254,0.021089543907427916,0.02190167428753547,0.021089543907427916,15.626331054416523,9.117757440459275,2.547329756605707,1.3705070960743189,1.977933826552906,1.1459727559671662,4.028685574232568,7.726505606604377,0.00028753411600430516,0.047648437678952216
farthest_point,0.1,10,147.8,0.45728134413391347,0.06844104599915986,0.41898734177215186,0.828832630098453,0.41898734177215186,23.033333333333335,23.746310599665254,3.5,2.394425484836357,5.4,4.375792219723254,6.247983084391761,9.9,0.004061953226725217,0.1778081893920898,70.87566578170535,0.028667062765230178,0.02540059524179394,0.020703789052694408,0.013104343765279651,0.020703789052694408,15.746922097843614,9.13318555625298,2.6172504656604803,1.2730543060065118,2.0752509888364505,1.0870239784763576,3.765976473971075,7.955501241279522,0.00031371767932788066,0.0439108132242128
farthest_point,0.1,11,145.73333333333332,0.4559081201322402,0.06847481101031959,0.41744022503516176,0.8326300984528833,0.41744022503516176,26.4,24.51599032292736,4.333333333333333,2.4436641237148127,6.0,4.437520488826475,6.412971302613371,12.166666666666666,0.0040640036265054864,0.1810785373051961,66.18908939965526,0.026550928499228972,0.024242551318148,0.01951701688742801,0.019005565042597893,0.01951701688742801,18.0860904196199,9.614247031437381,4.165999946658132,1.2627169523615243,2.6708300832013507,1.08091420032608,3.745219767288824,11.564553121019804,0.0003124725596877294,0.043343659768334146
