source,sampling_method,mode,sample_fraction,speedup,speedup_pvalue,delta_mae_vs_baseline,delta_accuracy_vs_baseline,fake_hit_ratio_mean,final_test_mae_mean,final_test_mae_std,final_test_accuracy_mean,final_test_accuracy_std,total_time_sec_mean,total_time_sec_std,mae_pvalue
baseline,,baseline_simple,1.0,1.0,,0.0,0.0,0.0,0.17685185185185182,0.05342359902500614,0.8231481481481482,0.053423599025006145,15.724682585398357,3.456578368009495,
FEC,farthest_point,farthest_point,0.1,1.3694148653846645,1.644949373416469e-06,-0.05046296296296296,0.05046296296296293,0.4232056159177559,0.12638888888888886,0.011254857204762232,0.8736111111111111,0.011254857204762238,14.645196223258973,3.485936066611986,2.192092073819934e-05
FEC,farthest_point,farthest_point,0.2,1.016950120918193,0.3952861985728421,-0.06388888888888887,0.06388888888888888,0.2710636473494849,0.11296296296296295,0.012542793689022285,0.8870370370370371,0.01254279368902228,19.37742439111074,4.769580204960645,4.861942561484466e-07
FEC,farthest_point,farthest_point,0.3,1.0338870063551227,0.2914134599177938,-0.06412037037037037,0.06412037037037044,0.2629115555252442,0.11273148148148145,0.010559717340700974,0.8872685185185186,0.010559717340700962,18.97651948928833,4.351430828665965,4.5006876399208693e-07
FEC,farthest_point,farthest_point,0.5,0.9356564678125454,0.8833814445238359,-0.07361111111111111,0.07361111111111107,0.10588710824998317,0.1032407407407407,0.016602241738001046,0.8967592592592593,0.01660224173800102,20.77139663696289,3.9649215708347043,3.1824201700756375e-08
FEC,stratified,stratified,0.1,1.6077316328131115,2.3856966962073826e-09,-0.04722222222222222,0.047222222222222165,0.46652233249751734,0.1296296296296296,0.014603528051469902,0.8703703703703703,0.014603528051469907,12.378531424204509,3.807041516801107,6.0051929077697505e-05
FEC,stratified,stratified,0.2,1.3751404259386921,6.373084469470717e-07,-0.05462962962962964,0.054629629629629584,0.45534982694742093,0.12222222222222218,0.0125,0.8777777777777778,0.0125,14.509960301717122,3.017026837442726,6.827626449369429e-06
FEC,stratified,stratified,0.3,1.1356625753332292,0.015694529157575018,-0.06481481481481481,0.06481481481481477,0.4261676900676012,0.112037037037037,0.011014238197565114,0.887962962962963,0.011014238197565102,17.428190604845682,3.6624937917701277,3.7104738877631573e-07
FEC,stratified,stratified,0.5,1.033528356382839,0.28563996249894447,-0.061111111111111116,0.061111111111111116,0.3949813880102177,0.1157407407407407,0.01138738321874893,0.8842592592592593,0.011387383218748926,19.039574567476908,3.934557698201813,1.0572910060018828e-06
