source,sampling_method,mode,sampling_fraction,sample_fraction,threshold,fake_hit_threshold,speedup,speedup_pvalue,delta_mae_vs_baseline,delta_accuracy_vs_baseline,final_test_mae_mean,final_test_mae_std,final_test_accuracy_mean,final_test_accuracy_std,total_time_sec_mean,total_time_sec_std
baseline,,baseline_simple,,1.0,,,,,0.0,0.0,0.344416456759026,0.023385783771865364,0.655583543240974,0.023385783771865367,90.64525306224823,10.22222701903002
FEC,farthest_point,fec_simple_farthest_point,0.1,0.1,0.0,0.0,0.9873773038844813,0.672666506943415,-0.010012594458438273,0.010012594458438273,0.3344038623005877,0.003937601028627993,0.6655961376994123,0.00393760102862798,91.8040679136912,9.387997442550883
FEC,farthest_point,fec_simple_farthest_point,0.1,0.1,0.01,0.01,0.836327144667687,0.9999873984302349,-0.010432409739714543,0.010432409739714488,0.33398404701931145,0.0039308813769349995,0.6660159529806885,0.003930881376935027,108.38492286205292,17.67538714081868
FEC,farthest_point,fec_simple_farthest_point,0.2,0.2,0.0,0.0,0.7162327917167266,0.9999999906551232,-0.009005037783375303,0.009005037783375247,0.3354114189756507,0.0053123223979264205,0.6645885810243493,0.00531232239792642,126.55836776892345,25.335125699556688
FEC,farthest_point,fec_simple_farthest_point,0.2,0.2,0.01,0.01,0.6358972183212717,0.999999999999531,-0.008963056255247681,0.008963056255247626,0.3354534005037783,0.004231032036985494,0.6645465994962216,0.004231032036985516,142.54701931476592,24.835560331853095
FEC,farthest_point,fec_simple_farthest_point,0.3,0.3,0.0,0.0,0.5779701921669461,0.9999999999999999,-0.009802686817800166,0.009802686817800055,0.3346137699412258,0.005297371883883265,0.6653862300587741,0.0052973718838832595,156.83378535906473,24.240595257186673
FEC,farthest_point,fec_simple_farthest_point,0.3,0.3,0.01,0.01,0.5990324962209267,1.0,-0.009886649874055409,0.009886649874055298,0.3345298068849706,0.003641821949142055,0.6654701931150293,0.0036418219491420236,151.31942529678344,21.938291783907385
FEC,farthest_point,fec_simple_farthest_point,0.4,0.4,0.0,0.0,0.5454704309671872,1.0,-0.009424853064651573,0.009424853064651462,0.3349916036943744,0.006032389162034262,0.6650083963056255,0.006032389162034253,166.1781242688497,18.514057683110785
FEC,farthest_point,fec_simple_farthest_point,0.4,0.4,0.01,0.01,0.547343497208578,1.0,-0.00961376994122587,0.009613769941225758,0.3348026868178001,0.004495161219640827,0.6651973131821998,0.004495161219640817,165.60944548447927,22.060816339310215
FEC,kmeans,fec_simple_kmeans,0.1,0.1,0.0,0.0,0.769284947931732,0.9999999516681454,-0.007787573467674169,0.007787573467674114,0.3366288832913518,0.004586421905318576,0.6633711167086481,0.0045864219053185825,117.83052990436553,20.435728404155142
FEC,kmeans,fec_simple_kmeans,0.1,0.1,0.01,0.01,0.7069609197145561,0.9999999999428554,-0.010012594458438273,0.010012594458438162,0.3344038623005877,0.00601922741046347,0.6655961376994122,0.00601922741046348,128.21819500128427,21.420691041467364
FEC,kmeans,fec_simple_kmeans,0.2,0.2,0.0,0.0,0.6801685016736971,0.9999999999999967,-0.010033585222502084,0.010033585222502084,0.3343828715365239,0.004261693782289325,0.6656171284634761,0.004261693782289312,133.26881918112437,17.61253997819761
FEC,kmeans,fec_simple_kmeans,0.2,0.2,0.01,0.01,0.6429896138337033,1.0,-0.009718723761544923,0.009718723761544812,0.33469773299748107,0.004828103889764626,0.6653022670025188,0.00482810388976464,140.9746769030889,16.92315416279543
FEC,kmeans,fec_simple_kmeans,0.3,0.3,0.0,0.0,0.6191656510209733,0.9999999999998582,-0.009697732997481112,0.009697732997481001,0.3347187237615449,0.00555379282720261,0.665281276238455,0.005553792827202598,146.39903378486633,25.55449205225563
FEC,kmeans,fec_simple_kmeans,0.3,0.3,0.01,0.01,0.6221645847688255,1.0,-0.010264483627204057,0.010264483627204002,0.33415197313182193,0.004744516356677015,0.665848026868178,0.004744516356677047,145.69336680571237,17.841217747606095
FEC,kmeans,fec_simple_kmeans,0.4,0.4,0.0,0.0,0.6068921535120372,0.9999999999999999,-0.009676742233417301,0.00967674223341719,0.3347397145256087,0.004849775104695895,0.6652602854743912,0.004849775104695931,149.3597380320231,21.59721312552552
FEC,kmeans,fec_simple_kmeans,0.4,0.4,0.01,0.01,0.6505684846264078,0.999999999999949,-0.00782955499580179,0.007829554995801735,0.3365869017632242,0.004890667845316873,0.6634130982367757,0.0048906678453168855,139.33237653573354,21.76182247729985
